"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","3,025,891","1,493,681","1,532,210","97.5","179,924","196,276","204,485","206,963","200,480","384,776","383,984","356,752","195,773","191,325","314,630","158,682","51,841","38.5","703,793","2,405,035","2,322,098","2,194,015","639,556","525,153","2,322,098","1,130,503","1,191,595","94.9","525,153","235,273","289,880","81.2","","3,025,891","2,726,637","299,254","2,726,637","2,115,847","447,402","17,058","3,539","102","97","0","43,928","11,628","5,180","4,627","847","1,134","5,897","14,615","11,814","N","N","N","N","90,588","299,254","27,581","54,558","15,879","2,027","","3,025,891","2,405,726","489,012","83,619","67,428","16,293","278,267","","3,025,891","247,641","168,405","9,416","2,767","67,053","2,778,250","2,064,333","445,772","11,077","42,588","11,724","6,550","196,206","89,774","106,432","1,380,768","","2,237,649","1,085,739","1,151,910"
"    Percent","","3,025,891","49.4%","50.6%","(X)","5.9%","6.5%","6.8%","6.8%","6.6%","12.7%","12.7%","11.8%","6.5%","6.3%","10.4%","5.2%","1.7%","(X)","23.3%","79.5%","76.7%","72.5%","21.1%","17.4%","2,322,098","48.7%","51.3%","(X)","525,153","44.8%","55.2%","(X)","","3,025,891","90.1%","9.9%","90.1%","69.9%","14.8%","0.6%","0.1%","0.0%","0.0%","0.0%","1.5%","0.4%","0.2%","0.2%","0.0%","0.0%","0.2%","0.5%","0.4%","N","N","N","N","3.0%","9.9%","0.9%","1.8%","0.5%","0.1%","","3,025,891","79.5%","16.2%","2.8%","2.2%","0.5%","9.2%","","3,025,891","8.2%","5.6%","0.3%","0.1%","2.2%","91.8%","68.2%","14.7%","0.4%","1.4%","0.4%","0.2%","6.5%","3.0%","3.5%","(X)","","2,237,649","48.5%","51.5%"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","39,237,836","19,618,934","19,618,902","100.0","2,210,235","2,358,988","2,647,372","2,579,680","2,531,692","5,827,869","5,414,686","4,928,928","2,446,661","2,327,199","3,569,204","1,716,875","678,447","37.6","8,769,779","31,507,237","30,468,057","28,918,596","7,330,977","5,964,526","30,468,057","15,126,455","15,341,602","98.6","5,964,526","2,692,059","3,272,467","82.3","","39,237,836","31,783,803","7,454,033","31,783,803","15,443,776","2,161,485","535,468","11,064","1,725","10,298","3,531","5,967,495","886,731","1,615,259","1,277,122","255,499","463,808","675,235","793,841","152,125","20,825","16,850","43,429","71,021","7,523,454","7,454,033","299,726","292,705","636,381","46,377","","39,237,836","22,418,889","2,848,110","1,301,969","6,971,642","330,772","13,401,119","","39,237,836","15,754,608","12,699,700","223,991","103,500","2,727,417","23,483,228","13,441,755","2,071,059","96,069","5,872,575","138,488","222,579","1,640,703","290,466","1,350,237","14,512,149","","26,028,290","12,858,732","13,169,558"
"    Percent","","39,237,836","50.0%","50.0%","(X)","5.6%","6.0%","6.7%","6.6%","6.5%","14.9%","13.8%","12.6%","6.2%","5.9%","9.1%","4.4%","1.7%","(X)","22.4%","80.3%","77.6%","73.7%","18.7%","15.2%","30,468,057","49.6%","50.4%","(X)","5,964,526","45.1%","54.9%","(X)","","39,237,836","81.0%","19.0%","81.0%","39.4%","5.5%","1.4%","0.0%","0.0%","0.0%","0.0%","15.2%","2.3%","4.1%","3.3%","0.7%","1.2%","1.7%","2.0%","0.4%","0.1%","0.0%","0.1%","0.2%","19.2%","19.0%","0.8%","0.7%","1.6%","0.1%","","39,237,836","57.1%","7.3%","3.3%","17.8%","0.8%","34.2%","","39,237,836","40.2%","32.4%","0.6%","0.3%","7.0%","59.8%","34.3%","5.3%","0.2%","15.0%","0.4%","0.6%","4.2%","0.7%","3.4%","(X)","","26,028,290","49.4%","50.6%"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,812,069","2,943,037","2,869,032","102.6","307,837","336,492","374,046","375,792","373,720","901,297","850,293","709,731","340,066","362,628","559,142","239,093","81,932","37.6","1,241,947","4,720,626","4,570,122","4,346,563","1,097,994","880,167","4,570,122","2,306,499","2,263,623","101.9","880,167","409,156","471,011","86.9","","5,812,069","4,946,739","865,330","4,946,739","4,101,383","229,367","60,377","1,953","507","8,794","4,466","185,093","32,647","34,857","19,107","8,747","21,337","26,206","42,192","8,668","3,564","1,818","1,063","2,223","361,851","865,330","53,669","71,876","64,324","5,876","","5,812,069","4,928,975","330,255","194,212","276,601","24,771","996,401","","5,812,069","1,293,214","906,912","35,644","12,213","338,445","4,518,855","3,788,266","217,416","19,091","180,990","8,105","35,913","269,074","78,408","190,666","2,540,783","","4,303,604","2,167,373","2,136,231"
"    Percent","","5,812,069","50.6%","49.4%","(X)","5.3%","5.8%","6.4%","6.5%","6.4%","15.5%","14.6%","12.2%","5.9%","6.2%","9.6%","4.1%","1.4%","(X)","21.4%","81.2%","78.6%","74.8%","18.9%","15.1%","4,570,122","50.5%","49.5%","(X)","880,167","46.5%","53.5%","(X)","","5,812,069","85.1%","14.9%","85.1%","70.6%","3.9%","1.0%","0.0%","0.0%","0.2%","0.1%","3.2%","0.6%","0.6%","0.3%","0.2%","0.4%","0.5%","0.7%","0.1%","0.1%","0.0%","0.0%","0.0%","6.2%","14.9%","0.9%","1.2%","1.1%","0.1%","","5,812,069","84.8%","5.7%","3.3%","4.8%","0.4%","17.1%","","5,812,069","22.3%","15.6%","0.6%","0.2%","5.8%","77.7%","65.2%","3.7%","0.3%","3.1%","0.1%","0.6%","4.6%","1.3%","3.3%","(X)","","4,303,604","50.4%","49.6%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,605,597","1,768,045","1,837,552","96.2","177,577","196,796","212,689","244,686","239,473","450,863","451,126","462,437","257,827","262,951","379,439","186,463","83,270","41.1","727,239","2,971,314","2,878,358","2,721,498","804,856","649,172","2,878,358","1,397,402","1,480,956","94.4","649,172","288,579","360,593","80.0","","3,605,597","3,186,915","418,682","3,186,915","2,354,580","380,846","12,238","N","N","N","N","172,878","60,974","41,541","17,597","2,499","10,336","8,066","31,865","1,478","N","N","N","N","264,895","418,682","56,076","15,449","25,623","7,631","","3,605,597","2,729,818","498,445","54,174","210,148","6,877","562,909","","3,605,597","637,113","59,915","288,922","16,464","271,812","2,968,484","2,262,380","355,253","3,621","170,011","703","28,071","148,445","53,679","94,766","1,536,327","","2,659,979","1,286,843","1,373,136"
"    Percent","","3,605,597","49.0%","51.0%","(X)","4.9%","5.5%","5.9%","6.8%","6.6%","12.5%","12.5%","12.8%","7.2%","7.3%","10.5%","5.2%","2.3%","(X)","20.2%","82.4%","79.8%","75.5%","22.3%","18.0%","2,878,358","48.5%","51.5%","(X)","649,172","44.5%","55.5%","(X)","","3,605,597","88.4%","11.6%","88.4%","65.3%","10.6%","0.3%","N","N","N","N","4.8%","1.7%","1.2%","0.5%","0.1%","0.3%","0.2%","0.9%","0.0%","N","N","N","N","7.3%","11.6%","1.6%","0.4%","0.7%","0.2%","","3,605,597","75.7%","13.8%","1.5%","5.8%","0.2%","15.6%","","3,605,597","17.7%","1.7%","8.0%","0.5%","7.5%","82.3%","62.7%","9.9%","0.1%","4.7%","0.0%","0.8%","4.1%","1.5%","2.6%","(X)","","2,659,979","48.4%","51.6%"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,003,384","485,908","517,476","93.9","53,039","58,410","59,908","63,288","57,635","128,564","122,088","115,300","67,381","76,220","125,407","57,183","18,961","41.6","208,517","819,868","794,867","754,148","247,308","201,551","794,867","381,310","413,557","92.2","201,551","90,883","110,668","82.1","","1,003,384","908,737","94,647","908,737","609,759","208,369","3,385","N","N","N","N","41,066","14,868","9,574","6,349","870","2,195","3,221","3,989","415","N","N","N","N","45,743","94,647","16,416","10,926","5,577","4,059","","1,003,384","690,900","243,431","23,607","50,814","2,606","95,286","","1,003,384","101,213","38,020","29,914","1,598","31,681","902,171","595,212","205,217","2,149","40,932","235","4,482","53,944","10,354","43,590","457,978","","754,114","359,786","394,328"
"    Percent","","1,003,384","48.4%","51.6%","(X)","5.3%","5.8%","6.0%","6.3%","5.7%","12.8%","12.2%","11.5%","6.7%","7.6%","12.5%","5.7%","1.9%","(X)","20.8%","81.7%","79.2%","75.2%","24.6%","20.1%","794,867","48.0%","52.0%","(X)","201,551","45.1%","54.9%","(X)","","1,003,384","90.6%","9.4%","90.6%","60.8%","20.8%","0.3%","N","N","N","N","4.1%","1.5%","1.0%","0.6%","0.1%","0.2%","0.3%","0.4%","0.0%","N","N","N","N","4.6%","9.4%","1.6%","1.1%","0.6%","0.4%","","1,003,384","68.9%","24.3%","2.4%","5.1%","0.3%","9.5%","","1,003,384","10.1%","3.8%","3.0%","0.2%","3.2%","89.9%","59.3%","20.5%","0.2%","4.1%","0.0%","0.4%","5.4%","1.0%","4.3%","(X)","","754,114","47.7%","52.3%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","670,050","319,025","351,025","90.9","40,809","35,833","33,735","35,516","45,383","145,879","110,899","70,143","32,661","33,577","50,531","24,706","10,378","34.8","125,729","553,437","544,321","515,012","103,636","85,615","544,321","255,085","289,236","88.2","85,615","35,541","50,074","71.0","","670,050","605,430","64,620","605,430","253,842","289,302","1,281","N","N","N","N","27,692","7,664","6,813","2,676","912","3,820","949","4,858","153","N","N","N","N","33,160","64,620","10,946","2,161","7,245","3,387","","670,050","306,793","315,284","10,232","38,928","813","68,745","","670,050","76,919","11,457","8,507","3,802","53,153","593,131","244,063","285,945","277","26,908","86","4,324","31,528","5,187","26,341","357,482","","502,670","234,461","268,209"
"    Percent","","670,050","47.6%","52.4%","(X)","6.1%","5.3%","5.0%","5.3%","6.8%","21.8%","16.6%","10.5%","4.9%","5.0%","7.5%","3.7%","1.5%","(X)","18.8%","82.6%","81.2%","76.9%","15.5%","12.8%","544,321","46.9%","53.1%","(X)","85,615","41.5%","58.5%","(X)","","670,050","90.4%","9.6%","90.4%","37.9%","43.2%","0.2%","N","N","N","N","4.1%","1.1%","1.0%","0.4%","0.1%","0.6%","0.1%","0.7%","0.0%","N","N","N","N","4.9%","9.6%","1.6%","0.3%","1.1%","0.5%","","670,050","45.8%","47.1%","1.5%","5.8%","0.1%","10.3%","","670,050","11.5%","1.7%","1.3%","0.6%","7.9%","88.5%","36.4%","42.7%","0.0%","4.0%","0.0%","0.6%","4.7%","0.8%","3.9%","(X)","","502,670","46.6%","53.4%"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
