State,Year
Massachusetts,2020
Michigan,2020
Minnesota,2020
Mississippi,2020
Missouri,2020
Montana,2020
Nebraska,2020
Nevada,2020
New Hampshire,2020
New Jersey,2020
New Mexico,2020
New York,2020
North Carolina,2020
North Dakota,2020
Ohio,2020
Oklahoma,2020
Oregon,2020
Pennsylvania,2020
Rhode Island,2020
South Carolina,2020
South Dakota,2020
Tennessee,2020
Texas,2020
Utah,2020
Vermont,2020
Virginia,2020
Washington,2020
West Virginia,2020
Wisconsin,2020
Wyoming,2020
Alabama,2021
Alaska,2021
Arizona,2021
Arkansas,2021
California,2021
Colorado,2021
Connecticut,2021
Delaware,2021
Florida,2021
Georgia,2021
Hawaii,2021
Idaho,2021
Illinois,2021
Indiana,2021
Iowa,2021
Kansas,2021
Kentucky,2021
Louisiana,2021
Maine,2021
Maryland,2021
Massachusetts,2021
Michigan,2021
Minnesota,2021
Mississippi,2021
Missouri,2021
Montana,2021
Nebraska,2021
Nevada,2021
New Hampshire,2021
New Jersey,2021
New Mexico,2021
New York,2021
North Carolina,2021
North Dakota,2021
Ohio,2021
Oklahoma,2021
Oregon,2021
Pennsylvania,2021
Rhode Island,2021
South Carolina,2021
South Dakota,2021
Tennessee,2021
Texas,2021
Utah,2021
Vermont,2021
Virginia,2021
Washington,2021
West Virginia,2021
Wisconsin,2021
Wyoming,2021
Alabama,2022
Alaska,2022
Arizona,2022
Arkansas,2022
California,2022
Colorado,2022
Connecticut,2022
Delaware,2022
Florida,2022
Georgia,2022
Hawaii,2022
Idaho,2022
Illinois,2022
Indiana,2022
Iowa,2022
Kansas,2022
Kentucky,2022
Louisiana,2022
Maine,2022
Maryland,2022
Massachusetts,2022
Michigan,2022
Minnesota,2022
Mississippi,2022
Missouri,2022
Montana,2022
Nebraska,2022
Nevada,2022
New Hampshire,2022
New Jersey,2022
New Mexico,2022
New York,2022
North Carolina,2022
North Dakota,2022
Ohio,2022
Oklahoma,2022
Oregon,2022
Pennsylvania,2022
Rhode Island,2022
South Carolina,2022
South Dakota,2022
Tennessee,2022
Texas,2022
Utah,2022
Vermont,2022
Virginia,2022
Washington,2022
West Virginia,2022
Wisconsin,2022
Wyoming,2022
Alabama,2023
Alaska,2023
Arizona,2023
Arkansas,2023
California,2023
Colorado,2023
Connecticut,2023
Delaware,2023
Florida,2023
Georgia,2023
Hawaii,2023
Idaho,2023
Illinois,2023
Indiana,2023
Iowa,2023
Kansas,2023
Kentucky,2023
Louisiana,2023
Maine,2023
Maryland,2023
Massachusetts,2023
Michigan,2023
Minnesota,2023
Mississippi,2023
Missouri,2023
Montana,2023
Nebraska,2023
Nevada,2023
New Hampshire,2023
New Jersey,2023
New Mexico,2023
New York,2023
North Carolina,2023
North Dakota,2023
Ohio,2023
Oklahoma,2023
Oregon,2023
Pennsylvania,2023
Rhode Island,2023
South Carolina,2023
South Dakota,2023
Tennessee,2023
Texas,2023
Utah,2023
Vermont,2023
Virginia,2023
Washington,2023
West Virginia,2023
Wisconsin,2023
Wyoming,2023
