"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","44,869","14.9%","45.0%","36.9%","3.2%","239,275","2.6%","5.3%","31.4%","28.6%","7.3%","15.1%","9.8%","92.1%","24.9%","56,273","92.7%","17.8%","49,862","92.8%","27.2%","103,383","93.2%","26.1%","29,757","86.3%","29.9%","","23.3%","8.9%","5.8%","2.5%","","50,662","24,156","35,197","50,758","64,285","76,995","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,721","14.7%","34.8%","41.8%","8.6%","225,319","3.4%","4.8%","24.5%","26.8%","9.3%","19.3%","12.1%","91.9%","31.3%","53,058","92.6%","30.7%","45,920","93.8%","34.2%","93,979","93.7%","32.8%","32,362","82.5%","24.0%","","17.8%","13.1%","7.8%","3.8%","","33,908","20,891","25,646","31,958","40,347","62,285","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","653,206","17.6%","30.2%","45.3%","7.0%","4,280,464","6.4%","7.9%","24.3%","25.7%","8.4%","17.2%","10.2%","85.7%","27.3%","875,914","85.7%","25.4%","830,584","85.2%","29.7%","1,602,880","87.0%","27.7%","971,086","84.0%","26.5%","","32.0%","16.8%","11.4%","5.4%","","32,447","17,773","25,923","32,278","46,668","60,562","","6.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,698","20.4%","33.0%","40.7%","5.9%","2,092,048","6.3%","8.4%","23.9%","25.1%","8.0%","17.3%","11.0%","85.3%","28.4%","450,676","83.9%","22.2%","419,284","84.4%","28.6%","777,860","86.8%","29.0%","444,228","84.9%","33.3%","","28.8%","15.8%","9.7%","5.0%","","37,586","20,914","29,775","39,989","55,720","76,231","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","313,508","14.5%","27.1%","50.3%","8.1%","2,188,416","6.4%","7.5%","24.6%","26.3%","8.8%","17.1%","9.3%","86.1%","26.4%","425,238","87.7%","28.7%","411,300","86.1%","30.8%","825,020","87.2%","26.5%","526,858","83.2%","20.8%","","35.1%","17.7%","12.8%","5.7%","","29,320","13,901","22,014","28,219","39,508","50,440","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","288,120","14.6%","34.0%","44.8%","6.6%","1,949,382","5.4%","9.8%","35.2%","22.5%","6.1%","13.8%","7.2%","84.8%","21.0%","379,413","87.8%","22.4%","368,925","87.1%","25.1%","759,937","86.3%","20.8%","441,107","77.5%","16.7%","","30.1%","16.6%","13.5%","4.3%","","30,191","20,692","25,280","28,590","42,377","54,099","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","146,837","17.7%","38.2%","38.5%","5.6%","934,904","5.8%","10.5%","36.7%","21.6%","5.0%","13.2%","7.1%","83.7%","20.3%","188,571","86.2%","18.8%","182,914","85.8%","22.2%","369,496","84.1%","19.9%","193,923","78.6%","21.0%","","24.5%","14.4%","9.7%","3.8%","","35,345","23,239","30,581","35,754","52,228","66,565","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","141,283","11.5%","29.6%","51.3%","7.6%","1,014,478","5.1%","9.2%","33.8%","23.3%","7.1%","14.3%","7.2%","85.7%","21.6%","190,842","89.4%","25.9%","186,011","88.5%","28.0%","390,441","88.3%","21.7%","247,184","76.6%","13.3%","","35.8%","18.8%","16.5%","4.8%","","24,713","14,342","20,223","22,857","36,428","46,874","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,022,340","14.7%","28.5%","47.9%","8.9%","24,779,784","10.1%","8.4%","20.6%","22.1%","7.9%","19.6%","11.3%","81.5%","30.9%","5,474,318","84.9%","31.8%","5,175,188","80.4%","32.8%","9,530,885","81.8%","30.8%","4,599,393","78.1%","28.0%","","26.6%","16.0%","11.4%","5.4%","","36,008","18,675","26,921","35,524","53,033","76,648","","6.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,083,060","16.9%","31.0%","45.1%","7.0%","12,109,629","9.8%","9.0%","21.0%","21.8%","7.2%","19.3%","11.9%","81.2%","31.2%","2,813,127","82.8%","28.3%","2,599,560","79.3%","31.4%","4,678,485","81.5%","31.2%","2,018,457","80.7%","35.0%","","23.2%","14.4%","10.0%","5.0%","","40,897","21,631","31,008","41,231","62,455","94,270","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,939,280","12.4%","25.9%","50.9%","10.9%","12,670,155","10.4%","7.8%","20.2%","22.3%","8.6%","19.9%","10.7%","81.8%","30.6%","2,661,191","87.1%","35.6%","2,575,628","81.5%","34.3%","4,852,400","82.0%","30.3%","2,580,936","76.0%","22.5%","","29.8%","17.5%","12.7%","5.9%","","30,953","14,450","22,757","30,523","45,826","62,207","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","511,621","15.0%","28.0%","46.4%","10.5%","3,444,654","4.0%","5.4%","21.8%","22.9%","8.4%","23.8%","13.7%","90.6%","37.5%","756,564","90.0%","37.5%","708,732","90.2%","40.3%","1,368,419","92.1%","38.1%","610,939","88.4%","32.8%","","26.9%","13.3%","10.0%","4.5%","","36,870","20,886","28,486","33,248","47,782","60,889","","5.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","265,292","16.9%","30.7%","43.8%","8.6%","1,707,505","4.3%","5.7%","22.5%","22.3%","7.5%","23.7%","14.0%","89.9%","37.7%","394,135","89.0%","33.4%","363,757","89.1%","37.6%","675,762","91.2%","38.9%","273,851","89.3%","41.4%","","24.0%","12.0%","8.9%","3.9%","","42,199","23,011","31,770","40,523","57,859","78,096","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","246,329","13.0%","25.2%","49.2%","12.6%","1,737,149","3.6%","5.1%","21.2%","23.5%","9.2%","23.8%","13.4%","91.2%","37.2%","362,429","91.0%","42.0%","344,975","91.3%","43.3%","692,657","93.0%","37.3%","337,088","87.8%","25.8%","","30.2%","14.6%","11.0%","5.1%","","31,265","15,650","23,327","27,933","39,045","50,506","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,603","12.4%","29.5%","45.1%","13.0%","2,457,978","4.2%","6.0%","27.8%","17.6%","7.4%","20.5%","16.6%","89.9%","37.1%","432,609","92.2%","40.2%","458,041","92.2%","42.2%","1,035,304","91.9%","37.9%","532,024","82.0%","28.5%","","24.3%","11.3%","7.8%","2.9%","","42,907","21,626","31,740","38,638","57,724","75,271","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","175,252","13.9%","34.4%","40.4%","11.3%","1,168,880","4.1%","6.5%","28.6%","17.4%","5.9%","20.9%","16.6%","89.4%","37.5%","216,376","90.8%","36.1%","222,726","90.8%","39.7%","503,314","91.2%","37.7%","226,464","82.5%","36.2%","","21.5%","9.9%","6.6%","2.3%","","51,939","24,591","39,391","46,906","73,405","96,569","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","164,351","10.7%","24.4%","50.1%","14.8%","1,289,098","4.2%","5.5%","27.0%","17.9%","8.8%","20.1%","16.6%","90.3%","36.7%","216,233","93.5%","44.3%","235,315","93.6%","44.7%","531,990","92.5%","38.0%","305,560","81.7%","22.8%","","27.0%","12.6%","8.7%","3.4%","","35,903","18,339","25,842","32,177","44,735","61,930","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93,560","17.0%","30.4%","43.5%","9.0%","618,612","4.1%","7.4%","31.5%","20.3%","7.2%","18.1%","11.4%","88.5%","29.5%","113,848","88.5%","32.4%","112,221","90.3%","32.7%","251,730","90.7%","29.4%","140,813","83.1%","24.9%","","24.7%","9.1%","7.6%","3.9%","","38,151","20,732","28,820","37,243","49,550","64,957","","3.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,044","21.1%","35.2%","37.1%","6.6%","293,017","5.1%","7.6%","32.7%","18.9%","6.6%","17.6%","11.5%","87.3%","29.1%","56,758","85.3%","28.6%","53,618","89.1%","28.6%","120,287","89.6%","28.6%","62,354","83.1%","30.8%","","17.6%","7.8%","5.9%","3.3%","","43,393","24,718","35,569","45,267","56,088","80,527","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,516","13.0%","25.6%","50.0%","11.5%","325,595","3.2%","7.2%","30.5%","21.5%","7.7%","18.5%","11.4%","89.6%","29.9%","57,090","91.7%","36.2%","58,603","91.4%","36.4%","131,443","91.7%","30.2%","78,459","83.1%","20.2%","","32.4%","10.2%","9.0%","4.5%","","33,409","15,128","24,520","32,329","42,379","56,215","","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83,340","11.5%","22.6%","41.7%","24.2%","439,531","4.4%","7.0%","18.4%","14.0%","3.2%","23.0%","30.0%","88.6%","53.0%","138,878","92.8%","68.2%","85,596","91.9%","57.5%","143,156","86.2%","43.1%","71,901","81.3%","37.8%","","34.5%","22.8%","15.6%","5.1%","","52,393","20,642","29,874","35,725","60,104","82,110","","7.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,377","15.7%","24.1%","39.1%","21.1%","205,675","4.6%","7.2%","17.5%","12.8%","3.4%","23.2%","31.2%","88.2%","54.5%","64,766","92.0%","65.4%","43,041","91.8%","60.7%","68,823","85.3%","43.2%","29,045","81.3%","47.5%","","31.2%","19.4%","13.9%","4.7%","","57,855","21,030","27,110","40,776","62,834","97,848","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","44,963","8.0%","21.4%","43.8%","26.8%","233,856","4.2%","6.9%","19.3%","15.0%","3.1%","22.7%","28.9%","89.0%","51.6%","74,112","93.6%","70.6%","42,555","92.0%","54.3%","74,333","87.0%","43.0%","42,856","81.3%","31.2%","","37.5%","25.4%","16.9%","5.5%","","50,955","20,296","30,719","30,996","56,797","72,064","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,812,848","16.3%","30.6%","45.4%","7.7%","13,503,747","5.3%","8.2%","29.8%","20.8%","9.2%","17.3%","9.6%","86.5%","26.8%","2,381,017","87.9%","26.9%","2,408,804","88.5%","29.3%","5,205,099","88.3%","27.3%","3,508,827","81.5%","24.3%","","28.9%","16.0%","11.6%","5.7%","","30,787","17,446","24,512","30,604","41,876","57,375","","7.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","927,012","19.1%","34.2%","40.7%","6.0%","6,474,383","5.5%","8.8%","29.5%","20.2%","8.2%","17.5%","10.2%","85.6%","27.7%","1,198,476","85.4%","22.9%","1,198,906","86.5%","27.4%","2,507,296","87.3%","27.9%","1,569,705","82.3%","31.2%","","25.4%","14.4%","9.5%","5.3%","","34,347","19,979","27,098","35,509","50,836","71,825","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","885,836","13.4%","26.8%","50.3%","9.5%","7,029,364","5.1%","7.5%","30.0%","21.3%","10.0%","17.0%","9.0%","87.3%","26.0%","1,182,541","90.3%","30.9%","1,209,898","90.5%","31.2%","2,697,803","89.2%","26.8%","1,939,122","80.9%","18.8%","","32.4%","17.4%","13.3%","6.1%","","27,015","15,221","21,285","26,803","37,372","47,541","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,020,360","18.3%","30.5%","44.0%","7.2%","6,403,838","5.6%","9.4%","28.3%","21.4%","7.1%","17.8%","10.4%","85.0%","28.2%","1,349,901","85.0%","28.5%","1,392,560","88.2%","32.2%","2,522,021","87.0%","28.9%","1,139,356","76.6%","21.5%","","31.4%","17.8%","12.7%","5.1%","","32,362","18,613","25,545","31,157","48,704","60,720","","5.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523,810","20.8%","33.6%","40.0%","5.6%","3,051,122","5.9%","10.2%","29.1%","20.7%","6.2%","17.9%","10.0%","83.9%","27.9%","668,347","82.9%","24.4%","675,826","85.9%","29.5%","1,217,358","85.6%","29.0%","489,591","78.0%","27.6%","","27.3%","15.0%","9.7%","4.3%","","38,226","21,507","29,989","37,014","60,407","79,703","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496,550","15.6%","27.3%","48.3%","8.9%","3,352,716","5.3%","8.7%","27.6%","22.1%","7.9%","17.8%","10.8%","86.0%","28.5%","681,554","87.1%","32.4%","716,734","90.3%","34.8%","1,304,663","88.4%","28.8%","649,765","75.6%","17.0%","","35.5%","20.3%","15.0%","5.7%","","27,988","14,466","20,855","26,630","40,193","51,849","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","137,151","8.3%","39.5%","43.5%","8.7%","952,281","4.3%","5.3%","28.3%","22.0%","10.0%","19.6%","10.5%","90.4%","30.1%","199,308","94.4%","29.3%","175,142","93.2%","31.8%","367,408","92.1%","32.1%","210,423","81.2%","25.8%","","19.6%","11.6%","8.6%","5.0%","","36,030","21,673","29,797","34,077","44,847","60,084","","6.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,476","9.5%","43.8%","40.5%","6.2%","470,390","3.4%","5.4%","29.9%","22.9%","10.1%","18.2%","10.0%","91.1%","28.2%","105,923","93.9%","22.3%","88,703","92.0%","27.6%","182,407","92.1%","30.7%","93,357","85.2%","30.6%","","17.2%","9.4%","6.7%","4.1%","","40,949","23,738","32,729","40,207","51,906","72,324","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,675","6.9%","34.1%","47.2%","11.8%","481,891","5.1%","5.2%","26.7%","21.1%","10.0%","21.0%","10.9%","89.7%","31.9%","93,385","94.9%","37.3%","86,439","94.4%","36.0%","185,001","92.2%","33.5%","117,066","78.1%","21.9%","","21.7%","13.9%","10.4%","5.7%","","31,423","17,532","24,828","29,488","39,544","51,501","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,190","14.1%","33.1%","46.2%","6.7%","1,012,786","4.1%","6.1%","27.7%","27.6%","9.0%","17.3%","8.2%","89.8%","25.5%","210,429","90.8%","24.4%","196,439","90.7%","27.2%","394,886","91.0%","26.3%","211,032","85.6%","23.4%","","24.8%","14.2%","10.6%","5.7%","","29,142","20,534","22,708","27,033","38,563","59,350","","6.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80,086","16.3%","36.1%","43.6%","4.0%","501,187","4.6%","6.6%","27.4%","26.2%","8.6%","17.2%","9.5%","88.9%","26.7%","108,128","89.6%","21.9%","99,823","88.4%","26.6%","195,122","89.9%","27.2%","98,114","86.7%","30.9%","","19.9%","12.9%","9.3%","5.0%","","35,671","24,812","30,097","34,276","48,584","66,395","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,104","11.7%","29.9%","48.8%","9.5%","511,599","3.6%","5.7%","28.0%","29.0%","9.4%","17.4%","6.9%","90.7%","24.3%","102,301","92.1%","27.0%","96,616","93.1%","27.7%","199,764","92.2%","25.4%","112,918","84.7%","16.9%","","30.6%","15.5%","11.8%","6.5%","","22,095","12,862","16,656","21,645","31,823","49,420","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,253,309","14.1%","27.4%","46.6%","11.9%","8,558,895","5.6%","6.8%","27.0%","21.4%","7.6%","19.7%","12.0%","87.6%","31.6%","1,782,088","90.3%","38.3%","1,699,779","88.9%","36.2%","3,381,316","89.3%","30.9%","1,695,712","80.1%","21.5%","","26.3%","13.6%","10.0%","4.7%","","36,888","20,616","27,219","34,384","50,919","66,698","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","640,209","16.4%","30.2%","44.0%","9.4%","4,112,674","5.8%","7.2%","27.5%","21.2%","6.8%","19.5%","12.0%","87.0%","31.4%","894,592","88.9%","33.8%","845,954","87.7%","33.9%","1,649,532","88.2%","30.9%","722,596","80.9%","27.0%","","23.1%","11.8%","7.7%","4.1%","","43,325","23,161","33,570","42,132","62,038","82,773","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","613,100","11.7%","24.5%","49.2%","14.6%","4,446,221","5.4%","6.4%","26.6%","21.6%","8.2%","19.9%","11.9%","88.2%","31.8%","887,496","91.8%","42.9%","853,825","90.0%","38.4%","1,731,784","90.3%","30.9%","973,116","79.5%","17.5%","","29.5%","15.4%","12.0%","5.3%","","30,652","16,612","21,579","27,586","41,515","56,377","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","668,970","17.9%","29.5%","44.2%","8.4%","4,278,945","4.0%","8.4%","35.3%","20.7%","8.1%","15.0%","8.4%","87.6%","23.4%","831,240","88.6%","28.4%","822,480","89.3%","27.0%","1,735,799","89.5%","22.5%","889,426","81.2%","17.3%","","27.2%","12.2%","10.2%","4.1%","","32,150","19,425","27,577","31,354","43,844","58,506","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","340,335","19.8%","32.7%","41.0%","6.5%","2,062,112","4.2%","8.7%","36.0%","20.6%","7.1%","14.9%","8.4%","87.0%","23.2%","416,719","87.4%","24.7%","409,509","87.9%","25.0%","851,961","88.5%","22.4%","383,923","82.5%","21.8%","","24.6%","10.6%","7.6%","3.9%","","40,252","23,465","34,072","40,745","55,183","70,653","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","328,635","16.0%","26.1%","47.5%","10.4%","2,216,833","3.8%","8.2%","34.7%","20.8%","9.0%","15.2%","8.4%","88.0%","23.6%","414,521","89.9%","32.1%","412,971","90.8%","29.1%","883,838","90.4%","22.6%","505,503","80.1%","13.8%","","29.8%","13.7%","12.5%","4.3%","","26,462","15,064","21,634","25,550","36,731","50,991","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
