"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","39,857","21.6%","39.6%","37.3%","1.5%","234,264","2.9%","6.4%","28.2%","29.0%","7.2%","16.6%","9.7%","90.7%","26.3%","55,477","90.6%","20.1%","49,162","91.0%","29.4%","104,095","92.1%","27.6%","25,530","85.3%","28.2%","","18.6%","8.5%","5.2%","1.9%","","49,686","21,458","36,552","49,215","62,488","72,452","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,166","15.6%","34.4%","44.5%","5.5%","216,313","2.8%","5.9%","22.1%","30.2%","9.4%","20.5%","9.2%","91.4%","29.7%","48,213","93.2%","29.4%","44,298","93.6%","32.0%","95,993","92.5%","31.3%","27,809","80.7%","20.9%","","16.7%","11.6%","8.3%","3.7%","","31,950","18,387","22,157","32,102","41,816","60,365","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","634,568","19.6%","30.7%","43.6%","6.0%","4,146,758","6.3%","8.1%","25.1%","26.5%","8.1%","16.7%","9.2%","85.6%","25.9%","859,440","85.1%","23.7%","823,770","85.0%","26.8%","1,576,753","87.3%","27.4%","886,795","83.7%","24.5%","","30.1%","16.0%","10.8%","4.6%","","32,106","17,638","25,607","31,751","46,091","60,051","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","329,966","22.2%","33.9%","39.1%","4.8%","2,023,886","6.4%","8.4%","25.1%","25.4%","7.6%","17.5%","9.6%","85.2%","27.1%","437,715","83.6%","21.3%","417,439","84.4%","25.5%","764,748","86.8%","28.8%","403,984","84.9%","31.8%","","27.9%","15.1%","9.5%","3.9%","","37,027","20,865","29,339","38,294","55,139","72,807","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","304,602","16.8%","27.4%","48.5%","7.3%","2,122,872","6.3%","7.7%","25.1%","27.6%","8.6%","15.9%","8.9%","86.1%","24.8%","421,725","86.6%","26.3%","406,331","85.7%","28.2%","812,005","87.9%","26.0%","482,811","82.8%","18.4%","","32.2%","16.8%","11.9%","5.3%","","28,172","14,358","21,971","27,216","39,411","51,047","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","291,054","20.3%","32.5%","41.5%","5.6%","1,919,422","6.3%","10.7%","34.6%","22.5%","6.3%","13.2%","6.3%","82.9%","19.5%","368,047","86.5%","22.5%","371,843","86.2%","21.0%","759,457","85.4%","19.6%","420,075","72.5%","15.2%","","26.7%","15.4%","11.6%","3.9%","","27,498","18,373","22,895","27,175","41,102","54,036","","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","146,227","23.2%","34.8%","37.2%","4.8%","923,077","6.8%","11.2%","35.3%","21.7%","5.2%","13.5%","6.4%","82.0%","19.9%","186,098","84.3%","19.7%","184,637","85.1%","20.2%","368,881","84.0%","19.8%","183,461","72.4%","19.9%","","23.0%","13.4%","9.1%","3.3%","","32,735","20,821","30,035","35,666","48,518","69,442","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","144,827","17.5%","30.3%","45.9%","6.3%","996,345","5.9%","10.3%","34.0%","23.3%","7.4%","12.9%","6.2%","83.8%","19.1%","181,949","88.8%","25.5%","187,206","87.2%","21.7%","390,576","86.7%","19.5%","236,614","72.6%","11.5%","","30.5%","17.3%","13.6%","4.4%","","22,966","15,848","18,415","23,312","36,184","47,987","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,944,934","17.3%","27.6%","47.3%","7.8%","24,097,200","10.5%","8.8%","20.8%","22.2%","7.6%","19.1%","11.0%","80.7%","30.1%","5,323,453","82.9%","30.7%","5,191,065","79.7%","31.6%","9,313,187","81.9%","30.6%","4,269,495","76.6%","26.5%","","25.3%","14.7%","9.9%","4.9%","","35,645","17,937","27,122","35,735","52,248","74,423","","6.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,054,714","20.2%","29.4%","44.0%","6.4%","11,750,261","10.3%","9.4%","21.0%","21.9%","7.0%","18.8%","11.7%","80.3%","30.5%","2,716,552","80.7%","26.9%","2,609,257","78.3%","29.9%","4,568,022","81.7%","31.8%","1,856,430","79.0%","33.2%","","22.1%","13.4%","8.7%","4.7%","","40,498","20,942","31,211","41,538","61,989","90,564","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,890,220","14.2%","25.7%","50.9%","9.3%","12,346,939","10.7%","8.2%","20.6%","22.5%","8.2%","19.5%","10.2%","81.1%","29.7%","2,606,901","85.2%","34.7%","2,581,808","81.1%","33.3%","4,745,165","82.1%","29.4%","2,413,065","74.7%","21.2%","","28.3%","15.9%","10.9%","5.2%","","30,800","14,234","22,848","30,686","45,699","61,956","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","492,348","15.4%","28.9%","44.3%","11.3%","3,328,045","4.3%","6.1%","22.8%","22.6%","7.8%","23.4%","13.0%","89.7%","36.4%","728,299","88.7%","36.1%","703,506","89.4%","39.4%","1,344,602","92.0%","37.5%","551,638","85.7%","30.2%","","25.3%","12.9%","9.5%","4.6%","","35,764","19,543","26,852","32,651","45,655","61,536","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,525","17.9%","31.1%","42.4%","8.6%","1,645,135","4.5%","6.4%","23.1%","22.2%","7.2%","23.0%","13.5%","89.0%","36.6%","376,089","87.0%","31.6%","357,990","88.1%","37.5%","665,924","91.5%","38.2%","245,132","86.7%","38.4%","","22.4%","11.5%","8.2%","4.2%","","41,476","23,122","31,662","40,093","55,842","79,911","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","237,823","12.8%","26.6%","46.3%","14.3%","1,682,910","4.0%","5.7%","22.5%","23.1%","8.5%","23.8%","12.4%","90.3%","36.2%","352,210","90.4%","40.9%","345,516","90.7%","41.4%","678,678","92.5%","36.8%","306,506","84.8%","23.6%","","28.3%","14.2%","10.7%","5.0%","","30,280","14,518","21,972","27,734","36,750","50,243","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","327,402","14.1%","27.3%","45.1%","13.5%","2,434,383","4.6%","6.8%","28.2%","17.7%","7.1%","20.2%","15.3%","88.6%","35.5%","421,750","89.5%","39.5%","484,117","91.4%","39.6%","1,020,363","91.2%","36.9%","508,153","80.0%","25.7%","","21.1%","10.6%","7.3%","3.4%","","41,993","21,807","31,553","39,035","56,329","74,050","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","167,846","16.0%","31.1%","41.8%","11.1%","1,154,728","4.9%","7.1%","28.9%","16.8%","5.9%","20.8%","15.6%","87.9%","36.4%","209,907","87.0%","36.1%","236,830","90.3%","36.8%","494,557","90.4%","38.2%","213,434","80.5%","32.3%","","18.7%","9.5%","4.9%","3.0%","","50,781","25,273","39,273","46,219","69,222","92,756","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","159,556","12.2%","23.3%","48.5%","16.1%","1,279,655","4.3%","6.5%","27.6%","18.6%","8.2%","19.7%","15.1%","89.2%","34.8%","211,843","91.9%","42.9%","247,287","92.6%","42.4%","525,806","92.0%","35.7%","294,719","79.6%","20.9%","","23.5%","11.5%","9.1%","3.7%","","35,378","18,974","24,743","32,370","45,965","61,455","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","92,921","19.5%","25.7%","46.3%","8.5%","600,779","3.8%","8.5%","32.7%","20.0%","7.2%","16.5%","11.3%","87.7%","27.8%","110,516","85.5%","31.0%","116,236","90.0%","30.6%","244,557","91.3%","28.1%","129,470","80.5%","21.9%","","22.1%","10.5%","6.9%","2.8%","","36,707","20,888","29,043","36,140","48,943","67,628","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,179","20.8%","29.9%","43.2%","6.1%","283,923","4.2%","9.4%","32.4%","19.7%","6.3%","16.0%","12.0%","86.3%","28.0%","54,464","81.2%","25.3%","55,984","89.0%","27.9%","116,768","90.5%","29.4%","56,707","80.0%","27.8%","","20.3%","7.4%","5.5%","2.5%","","41,943","23,061","33,045","41,586","55,705","88,085","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,742","18.1%","21.4%","49.5%","11.0%","316,856","3.5%","7.6%","32.8%","20.3%","8.1%","17.1%","10.6%","88.9%","27.6%","56,052","89.7%","36.5%","60,252","90.9%","33.1%","127,789","92.0%","27.0%","72,763","81.0%","17.4%","","24.0%","13.2%","8.0%","3.0%","","31,966","17,509","24,707","31,019","41,992","53,107","","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86,362","12.1%","20.0%","39.5%","28.4%","416,824","4.7%","7.9%","20.3%","13.8%","3.2%","23.2%","26.9%","87.4%","50.1%","126,322","92.7%","65.6%","81,404","91.0%","54.6%","139,671","85.9%","41.0%","69,427","76.7%","35.0%","","29.4%","23.6%","13.0%","6.6%","","49,512","22,249","31,309","35,530","56,869","77,482","","7.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,532","15.9%","22.2%","36.5%","25.4%","195,701","5.3%","8.0%","19.9%","12.5%","2.9%","23.3%","28.1%","86.8%","51.4%","60,153","91.3%","61.4%","40,502","90.5%","56.5%","67,378","84.9%","42.4%","27,668","75.8%","44.4%","","21.5%","20.0%","8.0%","7.0%","","50,562","23,223","31,429","35,649","61,407","85,011","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,830","9.0%","18.2%","42.0%","30.8%","221,123","4.2%","7.8%","20.6%","15.0%","3.4%","23.1%","25.9%","88.0%","48.9%","66,169","94.0%","69.4%","40,902","91.4%","52.6%","72,293","86.9%","39.7%","41,759","77.3%","28.8%","","37.0%","26.7%","16.5%","6.3%","","47,567","21,056","31,172","35,360","54,340","71,327","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,766,628","18.9%","30.5%","43.1%","7.6%","13,077,179","5.7%","8.8%","29.9%","21.2%","8.6%","16.6%","9.2%","85.5%","25.8%","2,270,950","86.0%","25.6%","2,437,991","87.8%","27.6%","5,095,039","87.5%","26.8%","3,273,199","80.3%","23.0%","","28.1%","15.6%","10.7%","5.6%","","30,108","16,904","23,936","30,092","41,992","55,005","","6.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","904,188","22.2%","32.6%","39.0%","6.2%","6,259,662","6.1%","9.6%","29.5%","20.4%","7.6%","16.8%","9.9%","84.3%","26.7%","1,142,525","82.7%","21.6%","1,207,094","85.4%","25.3%","2,452,278","86.2%","27.9%","1,457,765","81.3%","29.9%","","25.7%","14.3%","9.1%","5.1%","","32,428","19,127","26,588","34,314","50,583","67,948","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","862,440","15.4%","28.2%","47.3%","9.0%","6,817,517","5.4%","8.0%","30.3%","21.9%","9.4%","16.5%","8.5%","86.6%","24.9%","1,128,425","89.3%","29.5%","1,230,897","90.0%","29.9%","2,642,761","88.7%","25.7%","1,815,434","79.5%","17.5%","","30.6%","16.7%","12.0%","6.1%","","26,448","14,443","21,260","26,256","37,964","46,985","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","982,443","20.8%","32.4%","39.9%","6.9%","6,235,623","5.8%","9.9%","29.3%","21.0%","6.8%","17.5%","9.8%","84.3%","27.3%","1,322,903","84.1%","27.9%","1,406,883","87.9%","31.3%","2,471,939","86.6%","27.8%","1,033,898","74.1%","19.9%","","30.1%","16.2%","10.9%","4.7%","","31,576","17,175","25,278","30,796","48,474","61,061","","6.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","501,451","24.4%","35.1%","35.1%","5.4%","2,964,180","6.4%","10.6%","29.8%","20.2%","5.9%","17.7%","9.5%","83.1%","27.2%","647,052","81.0%","23.6%","690,862","85.6%","28.9%","1,189,142","85.2%","28.6%","437,124","76.2%","26.2%","","26.0%","13.8%","8.6%","3.9%","","37,148","19,567","30,066","37,315","60,281","79,386","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480,992","17.0%","29.6%","44.8%","8.5%","3,271,443","5.3%","9.3%","28.8%","21.7%","7.6%","17.4%","10.0%","85.4%","27.4%","675,851","87.1%","31.9%","716,021","90.1%","33.6%","1,282,797","87.9%","27.1%","596,774","72.5%","15.3%","","34.3%","18.3%","12.8%","5.3%","","26,995","14,155","20,955","25,880","40,012","52,077","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","133,032","7.1%","40.7%","45.4%","6.8%","926,928","4.8%","5.3%","28.6%","22.5%","9.2%","19.9%","9.6%","89.9%","29.5%","180,950","94.7%","28.4%","176,314","93.8%","32.8%","371,538","91.2%","31.6%","198,126","79.7%","23.7%","","18.2%","9.6%","8.3%","4.1%","","35,202","18,662","28,921","33,917","43,487","61,009","","6.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71,616","8.3%","45.1%","42.4%","4.2%","455,453","4.0%","5.0%","29.8%","23.0%","8.9%","19.5%","9.8%","91.1%","29.4%","93,506","94.9%","23.6%","89,919","93.5%","31.4%","184,147","91.0%","31.9%","87,881","84.6%","28.1%","","15.9%","7.2%","6.6%","3.9%","","40,853","20,307","31,927","40,961","51,202","70,734","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,416","5.7%","35.5%","48.9%","9.9%","471,475","5.6%","5.6%","27.4%","22.1%","9.6%","20.2%","9.4%","88.8%","29.7%","87,444","94.4%","33.4%","86,395","94.0%","34.3%","187,391","91.3%","31.3%","110,245","75.8%","20.3%","","19.8%","12.0%","9.9%","4.3%","","30,750","17,540","25,262","29,599","38,269","52,122","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154,661","15.8%","33.3%","44.3%","6.7%","987,829","4.2%","7.5%","28.6%","27.0%","8.3%","16.7%","7.7%","88.3%","24.4%","209,440","89.7%","22.6%","193,371","89.3%","28.3%","388,177","89.2%","25.8%","196,841","84.1%","19.7%","","25.6%","13.5%","10.8%","5.5%","","27,388","17,634","23,617","26,330","39,171","53,652","","7.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,541","18.6%","35.5%","41.2%","4.7%","487,752","4.4%","7.9%","29.2%","24.9%","8.0%","16.6%","9.0%","87.7%","25.6%","105,154","88.1%","20.2%","98,059","88.7%","28.5%","193,899","88.2%","26.9%","90,640","85.0%","25.7%","","22.1%","12.7%","8.7%","5.1%","","32,397","21,744","27,446","32,417","50,031","70,651","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,120","12.9%","31.0%","47.4%","8.8%","500,077","4.0%","7.1%","28.0%","29.1%","8.6%","16.9%","6.4%","88.9%","23.2%","104,286","91.3%","25.0%","95,312","90.0%","28.0%","194,278","90.2%","24.7%","106,201","83.3%","14.5%","","29.2%","14.3%","12.5%","5.8%","","22,205","13,063","19,097","21,436","30,851","45,771","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,251,474","15.2%","27.5%","45.1%","12.2%","8,465,762","5.6%","7.5%","27.6%","21.3%","7.2%","19.2%","11.5%","86.9%","30.8%","1,774,676","88.6%","37.0%","1,727,424","88.9%","34.7%","3,348,840","88.8%","30.5%","1,614,822","78.9%","20.1%","","24.3%","12.1%","9.7%","4.0%","","35,687","20,413","26,860","32,067","49,478","65,275","","4.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","637,802","18.1%","30.1%","41.8%","10.1%","4,058,518","5.6%","8.0%","28.1%","20.8%","6.5%","19.1%","11.8%","86.3%","30.9%","887,293","86.5%","32.1%","859,358","87.6%","33.0%","1,632,894","88.2%","31.1%","678,973","79.9%","25.9%","","21.3%","10.7%","7.7%","3.4%","","41,883","22,648","32,052","40,780","60,975","81,130","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","613,672","12.3%","24.8%","48.5%","14.5%","4,407,244","5.5%","7.1%","27.1%","21.8%","7.8%","19.4%","11.3%","87.4%","30.7%","887,383","90.8%","41.8%","868,066","90.1%","36.5%","1,715,946","89.3%","30.0%","935,849","78.1%","16.0%","","27.2%","13.5%","11.5%","4.6%","","29,640","16,145","21,776","26,825","40,626","53,981","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","654,708","19.9%","30.5%","42.1%","7.6%","4,229,798","4.2%","8.8%","36.0%","20.9%","7.5%","14.6%","8.1%","87.0%","22.7%","828,516","87.5%","26.9%","839,031","89.5%","25.7%","1,719,260","89.5%","23.1%","842,991","79.2%","14.7%","","25.1%","12.1%","9.6%","3.4%","","31,372","18,744","26,300","30,942","42,884","57,526","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","333,040","22.9%","32.5%","37.9%","6.7%","2,039,212","4.5%","9.1%","36.3%","20.4%","6.7%","14.8%","8.2%","86.4%","23.0%","417,683","85.7%","23.8%","418,251","88.9%","23.8%","844,852","88.4%","23.9%","358,426","79.8%","19.2%","","22.5%","10.6%","7.5%","2.9%","","38,374","21,356","32,153","40,093","52,033","70,825","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","321,668","16.9%","28.4%","46.3%","8.5%","2,190,586","3.9%","8.6%","35.7%","21.4%","8.2%","14.4%","8.0%","87.6%","22.4%","410,833","89.3%","30.1%","420,780","90.1%","27.5%","874,408","90.5%","22.3%","484,565","78.7%","11.5%","","27.8%","13.6%","11.4%","3.9%","","25,586","14,683","20,749","25,042","36,475","50,604","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
