"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","42,938","20.1%","39.5%","36.9%","3.5%","234,211","2.9%","5.5%","31.1%","29.7%","6.9%","14.9%","9.0%","91.6%","23.9%","55,623","92.1%","18.1%","47,236","92.6%","25.9%","102,937","92.9%","25.0%","28,415","84.1%","28.1%","","16.4%","9.9%","4.9%","2.3%","","50,122","27,439","40,850","48,611","66,281","81,303","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,695","16.5%","31.4%","44.2%","7.9%","222,651","3.2%","4.8%","25.0%","30.0%","8.0%","18.9%","10.0%","91.9%","28.9%","50,656","94.8%","30.6%","46,120","94.5%","35.2%","95,923","93.3%","27.1%","29,952","78.9%","22.4%","","19.4%","13.6%","7.8%","2.1%","","32,141","17,385","26,599","29,976","41,429","60,049","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","647,258","19.0%","30.5%","44.1%","6.4%","4,211,223","6.2%","8.1%","24.6%","26.2%","8.3%","17.1%","9.5%","85.7%","26.6%","866,715","85.8%","25.4%","824,699","84.0%","27.5%","1,596,656","87.2%","27.2%","923,153","84.5%","25.8%","","33.4%","16.9%","11.6%","5.3%","","32,165","17,925","24,995","32,066","46,485","57,249","","6.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","337,102","20.5%","33.0%","40.8%","5.7%","2,059,722","6.3%","8.7%","24.3%","25.4%","7.6%","17.6%","10.1%","85.0%","27.7%","444,260","84.3%","23.3%","419,659","82.8%","25.7%","773,756","86.3%","28.6%","422,047","85.4%","32.5%","","30.6%","15.9%","10.1%","5.1%","","36,757","20,503","27,803","38,480","56,932","70,899","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","310,156","17.4%","27.7%","47.7%","7.1%","2,151,501","6.1%","7.5%","24.9%","27.1%","8.9%","16.6%","8.9%","86.4%","25.5%","422,455","87.4%","27.6%","405,040","85.2%","29.4%","822,900","88.1%","25.9%","501,106","83.8%","20.1%","","36.1%","17.7%","12.8%","5.6%","","28,734","14,648","21,733","28,175","38,258","47,917","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","283,366","15.5%","32.7%","45.5%","6.3%","1,943,427","6.2%","10.0%","35.7%","22.0%","5.8%","13.1%","7.2%","83.8%","20.3%","382,514","86.9%","22.7%","365,721","87.3%","23.2%","766,567","85.4%","20.2%","428,625","75.0%","15.9%","","28.7%","16.5%","13.4%","4.1%","","28,700","18,392","24,009","27,926","42,220","56,579","","3.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","144,253","17.1%","36.8%","40.6%","5.5%","935,804","6.6%","10.5%","36.8%","21.1%","4.5%","13.2%","7.2%","82.9%","20.4%","191,221","85.8%","20.6%","183,026","85.3%","20.7%","374,495","84.0%","20.3%","187,062","75.4%","20.2%","","25.5%","13.8%","9.4%","3.5%","","32,944","21,066","27,897","34,570","50,171","70,798","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","139,113","13.9%","28.3%","50.6%","7.1%","1,007,623","5.9%","9.5%","34.6%","22.8%","7.0%","13.0%","7.2%","84.6%","20.2%","191,293","88.0%","24.8%","182,695","89.3%","25.8%","392,072","86.8%","20.1%","241,563","74.7%","12.5%","","32.0%","19.3%","16.6%","4.8%","","24,429","13,984","20,191","23,625","36,904","48,639","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,980,604","15.8%","28.8%","47.2%","8.2%","24,443,872","10.3%","8.6%","21.1%","22.1%","7.7%","19.2%","11.1%","81.1%","30.3%","5,404,486","84.2%","30.5%","5,169,975","80.0%","32.4%","9,471,358","81.9%","30.5%","4,398,053","76.9%","27.2%","","26.3%","15.5%","11.0%","5.1%","","35,561","18,261","26,941","35,303","52,824","76,253","","5.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,068,402","18.5%","30.8%","44.2%","6.5%","11,937,927","10.1%","9.1%","21.5%","21.8%","7.0%","18.9%","11.7%","80.8%","30.6%","2,768,151","82.3%","26.7%","2,595,120","78.8%","30.8%","4,652,933","81.7%","31.3%","1,921,723","79.2%","34.3%","","22.8%","14.0%","9.7%","4.6%","","40,344","21,272","30,837","41,252","62,264","92,391","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,912,202","12.8%","26.8%","50.4%","10.1%","12,505,945","10.5%","8.2%","20.7%","22.3%","8.3%","19.5%","10.5%","81.3%","30.0%","2,636,335","86.1%","34.6%","2,574,855","81.2%","34.0%","4,818,425","82.1%","29.6%","2,476,330","75.1%","21.7%","","29.6%","16.9%","12.1%","5.6%","","30,938","14,218","23,080","30,388","46,202","63,998","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","500,909","15.9%","28.4%","45.1%","10.5%","3,387,310","4.0%","5.8%","22.4%","22.8%","8.3%","23.3%","13.4%","90.2%","36.7%","744,951","90.0%","37.4%","709,547","89.4%","39.5%","1,357,315","92.4%","37.5%","575,497","86.4%","30.5%","","25.0%","13.0%","9.6%","4.7%","","36,435","21,397","28,344","33,581","46,180","60,987","","4.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","261,664","18.0%","31.1%","42.9%","8.0%","1,675,846","4.4%","6.1%","22.4%","22.4%","7.5%","23.4%","13.8%","89.5%","37.2%","383,357","88.3%","34.1%","363,285","87.7%","37.7%","672,525","91.9%","38.4%","256,679","87.8%","38.0%","","21.5%","11.8%","8.2%","4.6%","","42,421","24,038","33,559","41,187","57,960","77,480","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","239,245","13.7%","25.5%","47.4%","13.4%","1,711,464","3.6%","5.5%","22.3%","23.3%","9.1%","23.3%","12.9%","90.9%","36.2%","361,594","91.9%","41.0%","346,262","91.2%","41.4%","684,790","92.9%","36.6%","318,818","85.3%","24.4%","","28.7%","14.3%","10.9%","4.8%","","30,380","16,370","22,184","27,458","37,742","50,675","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","332,686","14.5%","28.3%","44.6%","12.7%","2,444,403","4.4%","6.5%","27.7%","17.9%","7.3%","20.5%","15.7%","89.1%","36.2%","428,130","90.6%","39.2%","467,003","91.6%","40.7%","1,033,956","91.5%","37.0%","515,314","80.7%","27.9%","","24.1%","10.6%","7.8%","3.4%","","42,417","21,965","32,869","38,371","56,878","75,875","","4.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","170,914","15.9%","30.9%","41.9%","11.2%","1,161,569","4.7%","6.7%","28.7%","17.7%","5.7%","20.7%","15.9%","88.6%","36.6%","214,834","88.9%","34.3%","227,110","90.1%","37.6%","501,986","91.0%","37.3%","217,639","81.3%","36.1%","","19.6%","8.7%","6.6%","3.1%","","51,022","26,441","40,540","45,278","71,062","94,700","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","161,772","12.9%","25.5%","47.4%","14.2%","1,282,834","4.2%","6.3%","26.8%","18.1%","8.8%","20.2%","15.6%","89.5%","35.8%","213,296","92.2%","44.0%","239,893","92.9%","43.7%","531,970","92.0%","36.7%","297,675","80.3%","21.9%","","28.5%","12.4%","8.8%","3.7%","","35,971","17,915","26,112","32,887","46,834","61,812","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91,390","16.2%","27.4%","46.2%","10.3%","611,120","4.7%","8.3%","31.6%","19.6%","7.0%","17.1%","11.7%","87.0%","28.8%","114,197","85.2%","31.5%","114,001","90.3%","32.9%","249,010","90.0%","28.2%","133,912","80.0%","24.4%","","21.1%","11.2%","6.9%","2.8%","","38,386","22,072","31,824","37,279","50,310","66,546","","4.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,803","20.6%","30.5%","40.5%","8.4%","289,532","5.1%","9.2%","31.5%","19.7%","5.1%","16.9%","12.4%","85.7%","29.4%","56,049","82.2%","29.1%","55,926","87.1%","29.5%","118,872","88.7%","28.6%","58,685","81.8%","31.1%","","14.7%","9.3%","5.4%","1.8%","","45,131","27,160","39,542","43,829","59,961","75,963","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,587","11.7%","24.3%","51.8%","12.1%","321,588","4.3%","7.6%","31.6%","19.5%","8.6%","17.3%","11.1%","88.1%","28.4%","58,148","88.2%","33.8%","58,075","93.4%","36.1%","130,138","91.2%","27.7%","75,227","78.7%","19.2%","","27.7%","12.9%","8.1%","3.7%","","32,216","16,145","26,047","32,418","40,849","57,937","","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,255","11.0%","20.5%","45.4%","23.1%","428,261","5.1%","7.7%","17.7%","14.2%","2.8%","23.3%","29.2%","87.2%","52.5%","133,265","94.0%","69.8%","82,827","88.7%","55.2%","142,431","85.1%","41.5%","69,738","76.8%","38.5%","","35.6%","22.8%","17.9%","4.2%","","54,264","24,316","31,692","37,965","61,357","80,936","","7.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,051","15.4%","22.9%","41.2%","20.5%","200,665","6.3%","7.4%","17.3%","13.3%","2.6%","24.0%","29.1%","86.4%","53.2%","62,465","92.5%","67.8%","41,770","86.0%","54.8%","68,616","85.1%","41.9%","27,814","76.4%","45.7%","","33.1%","17.9%","15.3%","3.4%","","58,450","27,375","32,334","38,081","65,899","94,982","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,204","7.4%","18.5%","48.8%","25.3%","227,596","4.1%","7.9%","18.1%","15.1%","3.0%","22.6%","29.3%","88.0%","51.9%","70,800","95.3%","71.6%","41,057","91.6%","55.7%","73,815","85.1%","41.2%","41,924","77.2%","33.7%","","38.0%","26.9%","19.8%","4.9%","","51,761","21,052","30,935","37,918","57,401","71,835","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,795,011","17.7%","30.2%","44.4%","7.7%","13,267,581","5.6%","8.4%","30.4%","20.8%","8.9%","16.5%","9.3%","85.9%","25.8%","2,328,282","87.1%","26.1%","2,408,924","88.3%","28.4%","5,170,980","87.8%","26.4%","3,359,395","80.6%","23.0%","","28.4%","16.1%","10.9%","5.6%","","30,608","17,182","24,452","30,565","41,888","57,025","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","924,294","20.6%","33.2%","39.8%","6.3%","6,351,556","5.9%","9.2%","30.2%","20.0%","8.0%","16.6%","10.1%","84.9%","26.7%","1,173,729","84.0%","21.7%","1,192,179","85.8%","26.2%","2,491,243","86.6%","27.2%","1,494,405","81.9%","30.0%","","26.1%","14.8%","9.3%","5.1%","","33,975","19,695","27,415","35,145","50,998","71,109","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","870,717","14.6%","26.9%","49.3%","9.2%","6,916,025","5.4%","7.7%","30.6%","21.5%","9.6%","16.5%","8.6%","86.9%","25.1%","1,154,553","90.1%","30.5%","1,216,745","90.7%","30.5%","2,679,737","88.8%","25.7%","1,864,990","79.6%","17.3%","","30.8%","17.3%","12.2%","6.2%","","26,912","15,173","21,257","26,785","38,087","47,354","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,018,180","20.5%","31.2%","40.9%","7.3%","6,308,961","5.8%","9.8%","29.3%","20.8%","6.7%","17.7%","9.8%","84.3%","27.6%","1,326,493","85.3%","29.0%","1,403,082","87.3%","31.7%","2,503,491","86.1%","27.8%","1,075,895","75.1%","19.9%","","31.6%","17.3%","12.0%","5.3%","","31,837","17,318","25,312","30,840","48,405","60,916","","5.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","523,088","24.8%","33.1%","36.1%","5.9%","3,004,726","6.3%","10.4%","30.0%","20.0%","5.8%","17.8%","9.8%","83.3%","27.6%","653,250","82.5%","25.2%","685,242","86.0%","29.1%","1,207,609","85.1%","28.6%","458,625","75.8%","25.8%","","27.0%","15.3%","9.6%","4.1%","","36,991","20,424","30,113","36,642","60,021","76,640","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","495,092","16.0%","29.3%","46.0%","8.7%","3,304,235","5.4%","9.3%","28.7%","21.5%","7.5%","17.7%","9.9%","85.2%","27.6%","673,243","88.0%","32.8%","717,840","88.5%","34.1%","1,295,882","87.1%","26.9%","617,270","74.5%","15.5%","","36.2%","19.2%","14.0%","6.4%","","27,691","14,001","20,965","26,827","40,263","52,308","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","130,941","10.1%","38.1%","44.3%","7.5%","939,512","4.4%","5.0%","28.5%","23.0%","10.0%","19.2%","9.9%","90.6%","29.1%","192,625","94.3%","28.6%","176,023","94.6%","29.4%","367,395","92.1%","31.3%","203,469","80.9%","25.3%","","20.3%","12.6%","8.9%","4.7%","","35,763","21,880","29,958","35,088","44,453","56,555","","5.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,974","11.0%","43.6%","40.1%","5.3%","462,509","3.7%","5.2%","29.5%","23.6%","10.0%","18.3%","9.8%","91.1%","28.1%","100,023","93.2%","23.0%","89,280","94.1%","25.7%","183,074","92.1%","30.7%","90,132","83.8%","30.7%","","19.7%","11.9%","7.2%","3.9%","","40,994","26,559","32,409","41,426","47,488","67,230","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,967","9.0%","31.6%","49.3%","10.1%","477,003","5.0%","4.9%","27.5%","22.5%","10.1%","20.0%","10.0%","90.1%","30.1%","92,602","95.5%","34.6%","86,743","95.0%","33.1%","184,321","92.1%","31.9%","113,337","78.6%","21.0%","","20.9%","13.4%","10.6%","5.4%","","31,065","18,183","25,187","27,482","40,988","49,912","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,872","14.1%","32.5%","47.8%","5.6%","998,460","4.5%","6.9%","27.5%","26.9%","8.9%","17.5%","7.8%","88.6%","25.2%","206,376","90.0%","24.8%","195,100","89.2%","28.2%","392,698","90.4%","26.6%","204,286","83.2%","20.3%","","25.5%","13.8%","10.8%","6.0%","","28,197","17,253","23,915","26,851","37,394","54,951","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80,992","17.3%","34.7%","44.0%","4.0%","494,011","5.0%","7.0%","26.6%","26.6%","8.1%","17.5%","9.2%","88.0%","26.7%","106,722","89.3%","22.9%","97,848","88.4%","26.8%","195,156","88.9%","28.6%","94,285","84.1%","27.0%","","23.3%","11.9%","10.0%","5.3%","","35,225","22,604","30,144","33,832","48,553","64,745","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77,880","10.9%","30.3%","51.7%","7.2%","504,449","4.0%","6.8%","28.5%","27.2%","9.7%","17.5%","6.3%","89.2%","23.8%","99,654","90.7%","26.8%","97,252","90.0%","29.5%","197,542","91.9%","24.7%","110,001","82.4%","14.5%","","27.9%","15.6%","11.5%","6.9%","","21,715","12,080","17,305","21,476","28,345","46,068","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,251,025","14.9%","28.3%","44.6%","12.2%","8,521,694","5.6%","7.2%","27.6%","21.3%","7.3%","19.3%","11.7%","87.2%","31.0%","1,781,187","89.6%","37.6%","1,712,435","88.9%","35.6%","3,385,477","88.9%","30.4%","1,642,595","79.3%","20.5%","","25.1%","13.9%","10.3%","4.4%","","36,083","20,592","27,112","32,718","50,498","65,860","","4.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","641,056","17.4%","31.2%","41.2%","10.1%","4,090,567","5.8%","7.6%","27.9%","21.1%","6.5%","19.1%","11.9%","86.6%","31.0%","892,995","87.9%","33.1%","851,796","87.7%","33.4%","1,650,699","88.0%","30.7%","695,077","80.1%","26.1%","","21.4%","11.8%","8.3%","4.0%","","42,114","23,387","32,251","40,986","61,856","82,330","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","609,969","12.2%","25.2%","48.2%","14.4%","4,431,127","5.5%","6.7%","27.3%","21.4%","8.0%","19.5%","11.6%","87.8%","31.0%","888,192","91.4%","42.2%","860,639","90.2%","37.8%","1,734,778","89.7%","30.0%","947,518","78.7%","16.3%","","28.7%","15.8%","11.9%","4.7%","","30,226","15,863","21,720","27,057","40,951","54,755","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","664,206","18.4%","30.9%","42.7%","8.0%","4,255,459","4.2%","8.6%","35.5%","20.9%","7.9%","14.8%","8.2%","87.3%","23.0%","830,830","87.5%","27.0%","834,977","89.1%","26.8%","1,733,160","89.7%","22.8%","856,492","80.2%","15.9%","","27.2%","11.9%","10.6%","3.8%","","32,210","18,587","27,070","31,682","44,013","59,897","","3.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","337,901","20.8%","33.6%","38.6%","6.9%","2,052,213","4.5%","8.9%","36.0%","20.5%","6.9%","14.9%","8.4%","86.6%","23.3%","420,555","85.6%","24.1%","418,181","87.6%","24.7%","848,161","89.0%","23.5%","365,316","81.3%","20.3%","","23.2%","9.9%","7.6%","3.9%","","39,300","21,708","33,109","40,143","55,273","70,447","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","326,305","16.0%","28.0%","46.9%","9.1%","2,203,246","3.9%","8.2%","35.0%","21.3%","8.8%","14.6%","8.1%","87.9%","22.8%","410,275","89.5%","30.0%","416,796","90.7%","29.0%","884,999","90.5%","22.1%","491,176","79.4%","12.5%","","31.3%","13.8%","13.1%","3.7%","","26,671","13,814","21,351","26,032","36,891","51,941","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
