"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","(X)","11.3%","30.0%","50.6%","8.1%","(X)","3.8%","8.8%","29.8%","21.9%","9.6%","16.4%","9.8%","87.4%","26.1%","(X)","89.9%","29.2%","(X)","90.5%","32.1%","(X)","89.3%","27.7%","(X)","80.8%","17.7%","","(X)","88.8%","28.3%","(X)","89.2%","28.3%","(X)","85.0%","20.1%","(X)","82.5%","19.3%","(X)","85.0%","42.0%","(X)","N","N","(X)","56.9%","14.7%","(X)","87.2%","26.9%","(X)","66.1%","22.8%","","34.4%","19.1%","13.7%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","73,053","10,416","27,892","29,966","4,779","481,561","14,246","25,790","133,132","126,985","42,724","86,444","52,240","(X)","(X)","118,149","106,986","28,098","97,124","91,616","31,021","183,247","170,158","54,192","83,041","72,765","25,373","","334,466","318,657","115,458","320,775","305,645","111,204","13,931","12,735","2,501","61,217","49,148","4,881","32,240","25,657","8,296","4,819","4,121","584","8,195","6,745","890","26,693","24,462","6,074","26,452","23,510","5,819","","(X)","(X)","(X)","(X)","","45,018","24,222","35,868","41,758","56,914","75,748"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.3%","38.2%","41.0%","6.5%","(X)","3.0%","5.4%","27.6%","26.4%","8.9%","18.0%","10.8%","91.7%","28.8%","(X)","90.6%","23.8%","(X)","94.3%","31.9%","(X)","92.9%","29.6%","(X)","87.6%","30.6%","","(X)","95.3%","34.5%","(X)","95.3%","34.7%","(X)","91.4%","18.0%","(X)","80.3%","8.0%","(X)","79.6%","25.7%","(X)","85.5%","12.1%","(X)","82.3%","10.9%","(X)","91.6%","22.8%","(X)","88.9%","22.0%","","23.9%","13.5%","7.0%","2.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","41,110","6,421","17,448","14,835","2,406","250,605","6,031","14,647","80,671","65,565","20,307","39,090","24,294","(X)","(X)","63,520","56,288","11,727","50,217","47,094","13,051","95,329","88,868","25,376","41,539","37,677","13,230","","176,873","168,349","54,523","170,087","162,039","53,062","8,421","7,688","1,229","29,637","24,113","1,972","14,789","12,030","2,849","2,159","1,680","66","4,810","3,651","270","13,916","12,416","2,475","13,503","11,692","1,841","","(X)","(X)","(X)","(X)","","51,352","27,211","41,536","51,169","67,437","90,028"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.6%","42.4%","36.1%","5.9%","(X)","2.4%","5.8%","32.2%","26.2%","8.1%","15.6%","9.7%","91.7%","25.3%","(X)","88.6%","18.5%","(X)","93.8%","26.0%","(X)","93.2%","26.6%","(X)","90.7%","31.8%","","(X)","95.2%","30.8%","(X)","95.3%","31.2%","(X)","91.3%","14.6%","(X)","81.4%","6.7%","(X)","81.3%","19.3%","(X)","77.8%","3.1%","(X)","75.9%","5.6%","(X)","89.2%","17.8%","(X)","86.6%","13.6%","","20.8%","12.8%","5.9%","2.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,943","3,995","10,444","15,131","2,373","230,956","8,215","11,143","52,461","61,420","22,417","47,354","27,946","(X)","(X)","54,629","50,698","16,371","46,907","44,522","17,970","87,918","81,290","28,816","41,502","35,088","12,143","","157,593","150,308","60,935","150,688","143,606","58,142","5,510","5,047","1,272","31,580","25,035","2,909","17,451","13,627","5,447","2,660","2,441","518","3,385","3,094","620","12,777","12,046","3,599","12,949","11,818","3,978","","(X)","(X)","(X)","(X)","","36,909","20,130","28,778","34,947","46,115","70,662"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.5%","32.7%","47.4%","7.4%","(X)","3.6%","4.8%","22.7%","26.6%","9.7%","20.5%","12.1%","91.6%","32.6%","(X)","92.8%","30.0%","(X)","94.9%","38.3%","(X)","92.5%","32.8%","(X)","84.5%","29.3%","","(X)","95.4%","38.7%","(X)","95.3%","38.6%","(X)","91.6%","23.1%","(X)","79.3%","9.2%","(X)","78.1%","31.2%","(X)","91.8%","19.5%","(X)","91.4%","18.3%","(X)","94.3%","28.2%","(X)","91.3%","30.7%","","27.0%","14.6%","8.0%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","672,180","109,734","226,131","285,153","51,162","4,711,362","254,700","350,198","1,136,493","1,178,809","408,070","863,062","520,030","(X)","(X)","953,327","845,756","275,199","859,457","738,967","269,517","1,697,728","1,467,151","485,351","1,200,850","1,054,590","353,025","","3,800,035","3,375,275","1,167,756","2,918,549","2,759,267","1,045,567","192,907","174,892","46,974","187,510","143,932","18,199","161,708","143,663","91,773","9,601","8,275","1,754","249,829","164,472","26,078","109,772","95,955","30,558","1,203,000","833,054","156,026","","(X)","(X)","(X)","(X)","","36,923","22,121","28,821","35,802","51,197","65,573"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.3%","33.6%","42.4%","7.6%","(X)","5.4%","7.4%","24.1%","25.0%","8.7%","18.3%","11.0%","87.2%","29.4%","(X)","88.7%","28.9%","(X)","86.0%","31.4%","(X)","86.4%","28.6%","(X)","87.8%","29.4%","","(X)","88.8%","30.7%","(X)","94.5%","35.8%","(X)","90.7%","24.4%","(X)","76.8%","9.7%","(X)","88.8%","56.8%","(X)","86.2%","18.3%","(X)","65.8%","10.4%","(X)","87.4%","27.8%","(X)","69.2%","13.0%","","25.2%","15.4%","10.2%","5.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","349,045","62,385","121,360","142,696","22,604","2,306,351","132,383","182,307","564,349","560,568","185,702","421,514","259,528","(X)","(X)","494,139","431,833","127,353","433,985","365,777","123,367","824,671","703,682","234,923","553,556","490,369","195,399","","1,856,826","1,634,786","577,448","1,423,643","1,337,244","522,182","100,818","91,318","23,879","87,785","65,171","6,848","72,181","66,365","45,449","5,322","4,485","1,140","128,864","82,067","11,562","54,555","47,469","14,716","597,569","405,108","70,048","","(X)","(X)","(X)","(X)","","41,275","25,742","32,269","41,321","62,280","80,236"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.9%","34.8%","40.9%","6.5%","(X)","5.7%","7.9%","24.5%","24.3%","8.1%","18.3%","11.3%","86.4%","29.5%","(X)","87.4%","25.8%","(X)","84.3%","28.4%","(X)","85.3%","28.5%","(X)","88.6%","35.3%","","(X)","88.0%","31.1%","(X)","93.9%","36.7%","(X)","90.6%","23.7%","(X)","74.2%","7.8%","(X)","91.9%","63.0%","(X)","84.3%","21.4%","(X)","63.7%","9.0%","(X)","87.0%","27.0%","(X)","67.8%","11.7%","","22.2%","13.8%","8.8%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","323,135","47,349","104,771","142,457","28,558","2,405,011","122,317","167,891","572,144","618,241","222,368","441,548","260,502","(X)","(X)","459,188","413,923","147,846","425,472","373,190","146,150","873,057","763,469","250,428","647,294","564,221","157,626","","1,943,209","1,740,489","590,308","1,494,906","1,422,023","523,385","92,089","83,574","23,095","99,725","78,761","11,351","89,527","77,298","46,324","4,279","3,790","614","120,965","82,405","14,516","55,217","48,486","15,842","605,431","427,946","85,978","","(X)","(X)","(X)","(X)","","32,249","17,976","24,030","31,308","42,884","54,235"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.7%","32.4%","44.1%","8.8%","(X)","5.1%","7.0%","23.8%","25.7%","9.2%","18.4%","10.8%","87.9%","29.2%","(X)","90.1%","32.2%","(X)","87.7%","34.4%","(X)","87.4%","28.7%","(X)","87.2%","24.4%","","(X)","89.6%","30.4%","(X)","95.1%","35.0%","(X)","90.8%","25.1%","(X)","79.0%","11.4%","(X)","86.3%","51.7%","(X)","88.6%","14.3%","(X)","68.1%","12.0%","(X)","87.8%","28.7%","(X)","70.7%","14.2%","","28.2%","16.9%","11.5%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","287,448","38,290","98,609","127,968","22,581","2,008,398","92,735","174,807","683,285","443,935","143,522","301,294","168,820","(X)","(X)","382,786","346,590","102,015","370,996","326,666","100,639","757,592","658,804","166,309","497,024","408,796","101,151","","1,600,041","1,419,259","399,109","1,540,589","1,380,797","390,662","278,042","231,605","43,888","12,408","9,314","1,590","30,297","24,036","14,696","5,073","2,570","230","44,954","21,390","3,627","37,583","32,682","6,974","107,132","61,598","11,827","","(X)","(X)","(X)","(X)","","34,062","23,439","29,023","31,916","46,483","60,011"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.3%","34.3%","44.5%","7.9%","(X)","4.6%","8.7%","34.0%","22.1%","7.1%","15.0%","8.4%","86.7%","23.4%","(X)","90.5%","26.7%","(X)","88.1%","27.1%","(X)","87.0%","22.0%","(X)","82.2%","20.4%","","(X)","88.7%","24.9%","(X)","89.6%","25.4%","(X)","83.3%","15.8%","(X)","75.1%","12.8%","(X)","79.3%","48.5%","(X)","50.7%","4.5%","(X)","47.6%","8.1%","(X)","87.0%","18.6%","(X)","57.5%","11.0%","","25.0%","15.6%","12.2%","4.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","145,595","21,759","53,799","61,138","8,899","968,413","49,256","90,762","354,410","202,599","54,286","141,893","75,207","(X)","(X)","195,077","174,312","44,294","183,196","157,503","44,380","368,816","313,909","74,276","221,324","182,671","54,150","","773,845","678,960","186,575","743,494","659,115","182,575","128,251","105,197","17,355","5,683","3,792","560","14,837","11,715","7,275","2,777","1,130","190","23,852","11,290","2,023","19,168","16,311","3,122","55,515","32,076","5,967","","(X)","(X)","(X)","(X)","","40,188","26,435","34,029","40,119","60,496","72,016"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.9%","37.0%","42.0%","6.1%","(X)","5.1%","9.4%","36.6%","20.9%","5.6%","14.7%","7.8%","85.5%","22.4%","(X)","89.4%","22.7%","(X)","86.0%","24.2%","(X)","85.1%","20.1%","(X)","82.5%","24.5%","","(X)","87.7%","24.1%","(X)","88.7%","24.6%","(X)","82.0%","13.5%","(X)","66.7%","9.9%","(X)","79.0%","49.0%","(X)","40.7%","6.8%","(X)","47.3%","8.5%","(X)","85.1%","16.3%","(X)","57.8%","10.7%","","21.8%","12.9%","9.5%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","141,853","16,531","44,810","66,830","13,682","1,039,985","43,479","84,045","328,875","241,336","89,236","159,401","93,613","(X)","(X)","187,709","172,278","57,721","187,800","169,163","56,259","388,776","344,895","92,033","275,700","226,125","47,001","","826,196","740,299","212,534","797,095","721,682","208,087","149,791","126,408","26,533","6,725","5,522","1,030","15,460","12,321","7,421","2,296","1,440","40","21,102","10,100","1,604","18,415","16,371","3,852","51,617","29,522","5,860","","(X)","(X)","(X)","(X)","","29,191","20,178","22,364","27,613","38,345","52,031"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.7%","31.6%","47.1%","9.6%","(X)","4.2%","8.1%","31.6%","23.2%","8.6%","15.3%","9.0%","87.7%","24.3%","(X)","91.8%","30.8%","(X)","90.1%","30.0%","(X)","88.7%","23.7%","(X)","82.0%","17.0%","","(X)","89.6%","25.7%","(X)","90.5%","26.1%","(X)","84.4%","17.7%","(X)","82.1%","15.3%","(X)","79.7%","48.0%","(X)","62.7%","1.7%","(X)","47.9%","7.6%","(X)","88.9%","20.9%","(X)","57.2%","11.4%","","28.5%","18.4%","14.3%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,799,994","399,555","1,174,092","1,823,319","403,028","26,679,273","2,459,993","1,989,309","5,541,182","5,641,881","2,070,661","5,616,449","3,359,798","(X)","(X)","6,018,225","5,390,200","2,181,935","5,232,877","4,357,054","1,909,936","9,923,354","8,078,704","3,159,887","5,504,817","4,404,013","1,724,489","","16,205,852","13,969,906","5,651,262","11,228,631","10,668,875","4,926,760","1,553,323","1,391,797","396,939","207,809","160,403","28,467","4,234,099","3,705,737","2,221,299","104,053","91,095","21,607","3,492,458","2,124,017","351,605","881,679","787,016","305,068","8,921,445","5,778,718","1,158,918","","(X)","(X)","(X)","(X)","","41,122","22,648","30,918","38,296","60,940","85,555"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
