"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","(X)","11.8%","29.5%","50.5%","8.2%","(X)","4.3%","9.2%","30.0%","21.9%","9.5%","15.2%","9.8%","86.5%","25.0%","(X)","89.6%","29.5%","(X)","89.0%","31.5%","(X)","88.5%","25.2%","(X)","79.3%","17.1%","","(X)","87.7%","26.2%","(X)","88.2%","26.4%","(X)","84.6%","21.3%","(X)","78.9%","18.2%","(X)","84.8%","44.8%","(X)","N","N","(X)","54.1%","14.1%","(X)","84.5%","31.6%","(X)","60.3%","14.0%","","31.3%","18.9%","14.2%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","75,647","10,553","29,718","29,776","5,600","478,951","10,392","22,585","133,928","129,650","40,819","90,861","50,716","(X)","(X)","121,629","114,205","33,513","92,373","86,923","28,180","189,117","177,156","56,160","75,832","67,690","23,724","","333,536","319,189","119,855","320,221","307,523","117,370","14,926","13,895","1,822","61,314","51,489","4,330","31,070","26,987","8,130","5,381","4,858","462","7,846","6,246","797","24,878","23,310","6,181","26,133","21,443","3,552","","(X)","(X)","(X)","(X)","","43,493","27,147","32,063","41,663","51,665","75,950"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.0%","39.3%","39.4%","7.4%","(X)","2.2%","4.7%","28.0%","27.1%","8.5%","19.0%","10.6%","93.1%","29.6%","(X)","93.9%","27.6%","(X)","94.1%","30.5%","(X)","93.7%","29.7%","(X)","89.3%","31.3%","","(X)","95.7%","35.9%","(X)","96.0%","36.7%","(X)","93.1%","12.2%","(X)","84.0%","7.1%","(X)","86.9%","26.2%","(X)","90.3%","8.6%","(X)","79.6%","10.2%","(X)","93.7%","24.8%","(X)","82.1%","13.6%","","21.3%","12.1%","6.0%","2.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","43,948","6,790","18,445","16,410","2,303","247,350","5,059","12,401","75,546","69,508","20,551","38,870","25,415","(X)","(X)","63,053","58,876","13,336","46,715","43,638","12,164","99,845","92,828","25,924","37,737","34,548","12,861","","176,949","168,044","56,221","170,327","162,500","55,378","8,441","7,887","595","29,795","25,065","1,866","13,958","12,299","3,094","2,615","2,473","125","3,791","3,514","249","11,801","10,608","2,135","13,324","11,137","1,054","","(X)","(X)","(X)","(X)","","51,041","40,247","37,298","51,608","62,614","87,728"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.5%","42.0%","37.3%","5.2%","(X)","2.0%","5.0%","30.5%","28.1%","8.3%","15.7%","10.3%","92.9%","26.0%","(X)","93.4%","21.2%","(X)","93.4%","26.0%","(X)","93.0%","26.0%","(X)","91.5%","34.1%","","(X)","95.0%","31.8%","(X)","95.4%","32.5%","(X)","93.4%","7.0%","(X)","84.1%","6.3%","(X)","88.1%","22.2%","(X)","94.6%","4.8%","(X)","92.7%","6.6%","(X)","89.9%","18.1%","(X)","83.6%","7.9%","","19.0%","10.2%","5.3%","2.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","31,699","3,763","11,273","13,366","3,297","231,601","5,333","10,184","58,382","60,142","20,268","51,991","25,301","(X)","(X)","58,576","55,329","20,177","45,658","43,285","16,016","89,272","84,328","30,236","38,095","33,142","10,863","","156,587","151,145","63,634","149,894","145,023","61,992","6,485","6,008","1,227","31,519","26,424","2,464","17,112","14,688","5,036","2,766","2,385","337","4,055","2,732","548","13,077","12,702","4,046","12,809","10,306","2,498","","(X)","(X)","(X)","(X)","","35,727","19,508","26,350","32,088","45,672","67,823"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.9%","35.6%","42.2%","10.4%","(X)","2.3%","4.4%","25.2%","26.0%","8.8%","22.4%","10.9%","93.3%","33.4%","(X)","94.5%","34.4%","(X)","94.8%","35.1%","(X)","94.5%","33.9%","(X)","87.0%","28.5%","","(X)","96.5%","40.6%","(X)","96.8%","41.4%","(X)","92.6%","18.9%","(X)","83.8%","7.8%","(X)","85.8%","29.4%","(X)","86.2%","12.2%","(X)","67.4%","13.5%","(X)","97.1%","30.9%","(X)","80.5%","19.5%","","24.0%","14.4%","6.8%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","673,240","104,586","222,145","294,824","51,685","4,626,409","265,215","349,224","1,105,497","1,179,736","390,843","835,779","500,115","(X)","(X)","929,487","807,939","251,894","849,315","723,029","256,382","1,677,781","1,459,062","488,099","1,169,826","1,021,940","339,519","","3,681,437","3,288,932","1,134,743","2,904,722","2,728,489","1,024,482","182,951","163,399","43,326","175,759","137,622","18,505","153,710","133,489","83,961","8,919","7,582","1,896","324,505","193,659","27,217","99,128","87,287","26,246","1,153,404","794,537","146,879","","(X)","(X)","(X)","(X)","","35,919","21,300","27,708","34,251","50,479","62,034"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.5%","33.0%","43.8%","7.7%","(X)","5.7%","7.5%","23.9%","25.5%","8.4%","18.1%","10.8%","86.7%","28.9%","(X)","86.9%","27.1%","(X)","85.1%","30.2%","(X)","87.0%","29.1%","(X)","87.4%","29.0%","","(X)","89.3%","30.8%","(X)","93.9%","35.3%","(X)","89.3%","23.7%","(X)","78.3%","10.5%","(X)","86.8%","54.6%","(X)","85.0%","21.3%","(X)","59.7%","8.4%","(X)","88.1%","26.5%","(X)","68.9%","12.7%","","27.7%","15.8%","11.2%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","348,374","61,624","124,258","140,029","22,463","2,263,051","132,055","182,136","548,375","558,940","183,367","408,669","249,509","(X)","(X)","480,789","407,842","116,116","428,164","360,419","119,691","814,862","704,193","235,465","539,236","476,406","186,906","","1,796,907","1,596,835","562,464","1,416,108","1,326,779","512,643","94,082","83,143","22,187","84,286","64,805","7,484","68,781","62,973","40,515","4,945","4,051","1,064","163,235","92,366","11,491","50,815","44,687","12,973","571,331","382,477","66,088","","(X)","(X)","(X)","(X)","","40,935","23,800","31,501","40,626","60,656","78,600"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.7%","35.7%","40.2%","6.4%","(X)","5.8%","8.0%","24.2%","24.7%","8.1%","18.1%","11.0%","86.1%","29.1%","(X)","84.8%","24.2%","(X)","84.2%","28.0%","(X)","86.4%","28.9%","(X)","88.3%","34.7%","","(X)","88.9%","31.3%","(X)","93.7%","36.2%","(X)","88.4%","23.6%","(X)","76.9%","8.9%","(X)","91.6%","58.9%","(X)","81.9%","21.5%","(X)","56.6%","7.0%","(X)","87.9%","25.5%","(X)","66.9%","11.6%","","24.9%","14.7%","9.8%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","324,866","42,962","97,887","154,795","29,222","2,363,358","133,160","167,088","557,122","620,796","207,476","427,110","250,606","(X)","(X)","448,698","400,097","135,778","421,151","362,610","136,691","862,919","754,869","252,634","630,590","545,534","152,613","","1,884,530","1,692,097","572,279","1,488,614","1,401,710","511,839","88,869","80,256","21,139","91,473","72,817","11,021","84,929","70,516","43,446","3,974","3,531","832","161,270","101,293","15,726","48,313","42,600","13,273","582,073","412,060","80,791","","(X)","(X)","(X)","(X)","","31,166","16,957","24,000","29,896","41,479","50,815"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.2%","30.1%","47.6%","9.0%","(X)","5.6%","7.1%","23.6%","26.3%","8.8%","18.1%","10.6%","87.3%","28.7%","(X)","89.2%","30.3%","(X)","86.1%","32.5%","(X)","87.5%","29.3%","(X)","86.5%","24.2%","","(X)","89.8%","30.4%","(X)","94.2%","34.4%","(X)","90.3%","23.8%","(X)","79.6%","12.0%","(X)","83.0%","51.2%","(X)","88.9%","20.9%","(X)","62.8%","9.8%","(X)","88.2%","27.5%","(X)","70.8%","13.9%","","30.5%","16.8%","12.5%","5.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","290,440","45,197","96,237","126,965","22,041","1,990,448","100,157","179,465","681,969","449,709","133,315","282,608","163,225","(X)","(X)","382,578","339,816","94,961","364,966","318,754","94,293","757,274","660,068","163,268","485,630","392,188","93,311","","1,591,895","1,396,204","375,239","1,537,148","1,361,279","368,889","281,785","232,481","45,092","11,027","9,645","2,068","28,508","24,749","13,491","N","N","N","41,779","19,157","3,740","31,719","26,843","6,074","101,002","56,850","9,744","","(X)","(X)","(X)","(X)","","31,687","22,442","26,629","30,419","45,963","56,296"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.6%","33.1%","43.7%","7.6%","(X)","5.0%","9.0%","34.3%","22.6%","6.7%","14.2%","8.2%","86.0%","22.4%","(X)","88.8%","24.8%","(X)","87.3%","25.8%","(X)","87.2%","21.6%","(X)","80.8%","19.2%","","(X)","87.7%","23.6%","(X)","88.6%","24.0%","(X)","82.5%","16.0%","(X)","87.5%","18.8%","(X)","86.8%","47.3%","(X)","N","N","(X)","45.9%","9.0%","(X)","84.6%","19.1%","(X)","56.3%","9.6%","","27.2%","15.9%","11.8%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","150,963","25,504","54,558","61,858","9,043","953,641","53,974","91,540","343,934","208,824","51,433","129,954","73,982","(X)","(X)","188,790","165,640","41,189","181,067","155,887","40,165","368,177","312,091","74,471","215,607","174,509","48,111","","768,252","666,014","176,878","740,908","648,606","173,835","127,990","102,984","14,938","4,792","4,161","1,034","12,375","11,159","6,939","N","N","N","22,875","9,891","1,541","15,171","12,727","2,540","52,733","28,737","4,419","","(X)","(X)","(X)","(X)","","36,955","25,970","31,222","37,055","57,465","70,813"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.9%","36.1%","41.0%","6.0%","(X)","5.7%","9.6%","36.1%","21.9%","5.4%","13.6%","7.8%","84.7%","21.4%","(X)","87.7%","21.8%","(X)","86.1%","22.2%","(X)","84.8%","20.2%","(X)","80.9%","22.3%","","(X)","86.7%","23.0%","(X)","87.5%","23.5%","(X)","80.5%","11.7%","(X)","86.8%","21.6%","(X)","90.2%","56.1%","(X)","N","N","(X)","43.2%","6.7%","(X)","83.9%","16.7%","(X)","54.5%","8.4%","","22.7%","14.3%","8.1%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","139,477","19,693","41,679","65,107","12,998","1,036,807","46,183","87,925","338,035","240,885","81,882","152,654","89,243","(X)","(X)","193,788","174,176","53,772","183,899","162,867","54,128","389,097","347,977","88,797","270,023","217,679","45,200","","823,643","730,190","198,361","796,240","712,673","195,054","153,795","129,497","30,154","6,235","5,484","1,034","16,133","13,590","6,552","N","N","N","18,904","9,266","2,199","16,548","14,116","3,534","48,269","28,113","5,325","","(X)","(X)","(X)","(X)","","26,908","17,073","21,770","24,837","40,284","50,713"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.1%","29.9%","46.7%","9.3%","(X)","4.5%","8.5%","32.6%","23.2%","7.9%","14.7%","8.6%","87.1%","23.3%","(X)","89.9%","27.7%","(X)","88.6%","29.4%","(X)","89.4%","22.8%","(X)","80.6%","16.7%","","(X)","88.7%","24.1%","(X)","89.5%","24.5%","(X)","84.2%","19.6%","(X)","88.0%","16.6%","(X)","84.2%","40.6%","(X)","N","N","(X)","49.0%","11.6%","(X)","85.3%","21.4%","(X)","58.2%","11.0%","","31.9%","17.6%","14.7%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,852,527","450,516","1,151,620","1,863,716","386,675","26,304,241","2,556,147","2,062,516","5,390,935","5,602,398","2,031,775","5,426,164","3,234,306","(X)","(X)","5,902,164","5,193,801","2,093,253","5,168,066","4,229,793","1,828,366","9,885,572","8,007,640","3,106,599","5,348,439","4,254,344","1,632,252","","16,275,015","13,866,958","5,535,186","11,269,651","10,656,428","4,858,354","1,523,493","1,359,241","370,531","188,079","142,249","25,959","4,086,920","3,555,253","2,115,649","99,235","85,889","20,261","3,291,611","1,928,844","306,001","839,888","747,144","286,883","8,703,787","5,452,259","1,057,443","","(X)","(X)","(X)","(X)","","40,005","21,558","30,231","36,985","60,121","82,271"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
