"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","","(X)","13.0%","28.3%","49.3%","9.4%","(X)","4.2%","9.9%","29.7%","22.1%","9.5%","15.5%","9.2%","85.9%","24.7%","(X)","89.0%","29.2%","(X)","89.1%","30.6%","(X)","87.3%","24.5%","(X)","79.1%","17.2%","","(X)","87.1%","26.7%","(X)","87.7%","26.9%","(X)","83.6%","18.6%","(X)","82.5%","20.7%","(X)","83.6%","42.9%","(X)","46.8%","12.4%","(X)","58.5%","10.4%","(X)","84.4%","26.4%","(X)","62.4%","16.1%","","36.4%","19.4%","14.8%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,518","12,427","31,416","33,882","4,793","469,523","12,121","22,495","128,052","129,326","38,113","87,869","51,547","(X)","(X)","118,778","110,327","33,668","91,656","86,177","26,822","188,081","176,033","57,535","71,008","62,370","21,391","","332,742","318,375","118,915","316,043","302,936","115,549","15,302","14,585","3,015","55,872","45,544","3,988","30,790","25,177","7,554","2,825","2,406","72","6,962","5,488","1,088","25,030","23,332","4,784","25,926","22,866","4,733","","(X)","(X)","(X)","(X)","","41,968","21,923","33,815","41,036","52,885","70,590"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.1%","38.1%","41.1%","5.8%","(X)","2.6%","4.8%","27.3%","27.5%","8.1%","18.7%","11.0%","92.6%","29.7%","(X)","92.9%","28.3%","(X)","94.0%","29.3%","(X)","93.6%","30.6%","(X)","87.8%","30.1%","","(X)","95.7%","35.7%","(X)","95.9%","36.6%","(X)","95.3%","19.7%","(X)","81.5%","7.1%","(X)","81.8%","24.5%","(X)","85.2%","2.5%","(X)","78.8%","15.6%","(X)","93.2%","19.1%","(X)","88.2%","18.3%","","19.8%","11.5%","6.5%","2.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","48,263","7,815","18,484","19,865","2,099","244,336","6,295","11,211","73,672","66,243","19,072","42,968","24,875","(X)","(X)","63,933","59,402","16,018","47,778","44,976","12,007","97,577","91,250","28,433","35,048","31,202","11,385","","176,839","169,133","59,595","168,627","161,618","57,909","9,134","8,740","1,155","27,150","22,185","1,428","13,520","11,025","2,499","1,312","982","41","3,797","3,016","727","12,584","11,749","2,398","13,080","11,393","2,353","","(X)","(X)","(X)","(X)","","51,160","26,389","41,365","50,968","64,905","77,073"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","16.2%","38.3%","41.2%","4.3%","(X)","2.6%","4.6%","30.2%","27.1%","7.8%","17.6%","10.2%","92.8%","27.8%","(X)","92.9%","25.1%","(X)","94.1%","25.1%","(X)","93.5%","29.1%","(X)","89.0%","32.5%","","(X)","95.6%","33.7%","(X)","95.8%","34.3%","(X)","95.7%","12.6%","(X)","81.7%","5.3%","(X)","81.5%","18.5%","(X)","74.8%","3.1%","(X)","79.4%","19.1%","(X)","93.4%","19.1%","(X)","87.1%","18.0%","","20.3%","9.1%","5.3%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","34,255","4,612","12,932","14,017","2,694","225,187","5,826","11,284","54,380","63,083","19,041","44,901","26,672","(X)","(X)","54,845","50,925","17,650","43,878","41,201","14,815","90,504","84,783","29,102","35,960","31,168","10,006","","155,903","149,242","59,320","147,416","141,318","57,640","6,168","5,845","1,860","28,722","23,359","2,560","17,270","14,152","5,055","1,513","1,424","31","3,165","2,472","361","12,446","11,583","2,386","12,846","11,473","2,380","","(X)","(X)","(X)","(X)","","34,713","16,073","25,312","31,797","42,423","64,785"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.5%","37.8%","40.9%","7.9%","(X)","2.6%","5.0%","24.1%","28.0%","8.5%","19.9%","11.8%","92.4%","31.8%","(X)","92.9%","32.2%","(X)","93.9%","33.8%","(X)","93.7%","32.2%","(X)","86.7%","27.8%","","(X)","95.7%","38.0%","(X)","95.9%","39.1%","(X)","94.8%","30.2%","(X)","81.3%","8.9%","(X)","81.9%","29.3%","(X)","94.1%","2.0%","(X)","78.1%","11.4%","(X)","93.1%","19.2%","(X)","89.3%","18.5%","","19.3%","14.7%","7.7%","2.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","669,583","114,187","203,312","302,777","49,307","4,536,954","271,316","359,657","1,110,871","1,155,555","382,106","788,933","468,516","(X)","(X)","914,761","795,472","241,047","845,274","709,336","242,768","1,656,915","1,433,627","461,798","1,120,004","967,546","311,836","","3,663,151","3,229,819","1,066,299","2,862,388","2,687,401","970,782","182,629","161,624","41,895","177,653","136,231","17,670","151,375","132,737","82,037","7,626","6,776","1,586","266,473","161,319","23,276","88,047","77,475","24,686","1,122,913","746,212","125,693","","(X)","(X)","(X)","(X)","","35,016","20,377","27,947","33,632","49,801","60,884"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.1%","30.4%","45.2%","7.4%","(X)","6.0%","7.9%","24.5%","25.5%","8.4%","17.4%","10.3%","86.1%","27.7%","(X)","87.0%","26.4%","(X)","83.9%","28.7%","(X)","86.5%","27.9%","(X)","86.4%","27.8%","","(X)","88.2%","29.1%","(X)","93.9%","33.9%","(X)","88.5%","22.9%","(X)","76.7%","9.9%","(X)","87.7%","54.2%","(X)","88.9%","20.8%","(X)","60.5%","8.7%","(X)","88.0%","28.0%","(X)","66.5%","11.2%","","30.7%","17.4%","10.4%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","345,832","67,044","113,257","145,132","20,399","2,215,766","131,711","188,285","549,720","554,696","169,877","384,998","236,479","(X)","(X)","471,430","402,298","108,735","425,605","351,056","115,773","803,659","689,105","224,467","515,072","453,311","172,502","","1,789,250","1,568,691","530,718","1,395,735","1,306,569","488,056","94,261","82,723","21,167","83,116","64,510","7,756","68,509","60,281","40,387","3,845","3,205","363","132,832","78,319","10,214","43,953","38,041","10,872","555,194","362,653","56,055","","(X)","(X)","(X)","(X)","","40,163","22,690","31,563","40,033","60,684","77,580"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","19.4%","32.7%","42.0%","5.9%","(X)","5.9%","8.5%","24.8%","25.0%","7.7%","17.4%","10.7%","85.6%","28.0%","(X)","85.3%","23.1%","(X)","82.5%","27.2%","(X)","85.7%","27.9%","(X)","88.0%","33.5%","","(X)","87.7%","29.7%","(X)","93.6%","35.0%","(X)","87.8%","22.5%","(X)","77.6%","9.3%","(X)","88.0%","59.0%","(X)","83.4%","9.4%","(X)","59.0%","7.7%","(X)","86.5%","24.7%","(X)","65.3%","10.1%","","26.4%","15.4%","9.0%","4.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","323,751","47,143","90,055","157,645","28,908","2,321,188","139,605","171,372","561,151","600,859","212,229","403,935","232,037","(X)","(X)","443,331","393,174","132,312","419,669","358,280","126,995","853,256","744,522","237,331","604,932","514,235","139,334","","1,873,901","1,661,128","535,581","1,466,653","1,380,832","482,726","88,368","78,901","20,728","94,537","71,721","9,914","82,866","72,456","41,650","3,781","3,571","1,223","133,641","83,000","13,062","44,094","39,434","13,814","567,719","383,559","69,638","","(X)","(X)","(X)","(X)","","30,484","15,639","23,454","30,015","40,862","50,530"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.6%","27.8%","48.7%","8.9%","(X)","6.0%","7.4%","24.2%","25.9%","9.1%","17.4%","10.0%","86.6%","27.4%","(X)","88.7%","29.8%","(X)","85.4%","30.3%","(X)","87.3%","27.8%","(X)","85.0%","23.0%","","(X)","88.6%","28.6%","(X)","94.1%","32.9%","(X)","89.3%","23.5%","(X)","75.9%","10.5%","(X)","87.4%","50.3%","(X)","94.4%","32.3%","(X)","62.1%","9.8%","(X)","89.4%","31.3%","(X)","67.6%","12.3%","","35.0%","19.2%","11.7%","5.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","284,441","36,309","90,153","137,505","20,474","1,987,819","105,945","184,126","678,452","450,886","135,029","278,975","154,406","(X)","(X)","385,391","341,615","93,033","367,499","322,906","92,184","756,815","650,789","159,014","478,114","382,438","89,150","","1,602,976","1,394,731","369,216","1,538,245","1,358,657","362,223","282,880","227,656","38,663","12,114","9,902","1,895","27,638","23,559","14,233","3,935","2,795","18","32,419","17,690","2,903","25,857","21,415","6,453","99,470","54,643","9,688","","(X)","(X)","(X)","(X)","","30,983","21,608","26,241","30,020","42,828","55,490"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.8%","31.7%","48.3%","7.2%","(X)","5.3%","9.3%","34.1%","22.7%","6.8%","14.0%","7.8%","85.4%","21.8%","(X)","88.6%","24.1%","(X)","87.9%","25.1%","(X)","86.0%","21.0%","(X)","80.0%","18.6%","","(X)","87.0%","23.0%","(X)","88.3%","23.5%","(X)","80.5%","13.7%","(X)","81.7%","15.6%","(X)","85.2%","51.5%","(X)","71.0%","0.5%","(X)","54.6%","9.0%","(X)","82.8%","25.0%","(X)","54.9%","9.7%","","30.2%","17.0%","12.5%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","144,726","20,270","51,576","64,632","8,248","954,538","51,615","96,621","342,205","215,514","50,244","128,621","69,718","(X)","(X)","190,379","166,103","39,462","182,421","158,314","40,353","369,413","310,674","70,216","212,325","171,211","48,308","","775,232","666,776","172,134","741,705","648,361","168,887","128,722","102,244","13,040","5,343","4,180","1,073","13,019","11,616","7,401","1,876","1,538","18","17,321","9,028","1,150","13,025","10,920","3,523","52,809","28,208","4,388","","(X)","(X)","(X)","(X)","","35,947","25,422","31,159","36,451","52,803","71,766"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.0%","35.6%","44.7%","5.7%","(X)","5.4%","10.1%","35.9%","22.6%","5.3%","13.5%","7.3%","84.5%","20.8%","(X)","87.2%","20.7%","(X)","86.8%","22.1%","(X)","84.1%","19.0%","(X)","80.6%","22.8%","","(X)","86.0%","22.2%","(X)","87.4%","22.8%","(X)","79.4%","10.1%","(X)","78.2%","20.1%","(X)","89.2%","56.8%","(X)","82.0%","1.0%","(X)","52.1%","6.6%","(X)","83.8%","27.0%","(X)","53.4%","8.3%","","24.8%","14.9%","9.7%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","139,715","16,039","38,577","72,873","12,226","1,033,281","54,330","87,505","336,247","235,372","84,785","150,354","84,688","(X)","(X)","195,012","175,512","53,571","185,078","164,592","51,831","387,402","340,115","88,798","265,789","211,227","40,842","","827,744","727,955","197,082","796,540","710,296","193,336","154,158","125,412","25,623","6,771","5,722","822","14,619","11,943","6,832","2,059","1,257","0","15,098","8,662","1,753","12,832","10,495","2,930","46,661","26,435","5,300","","(X)","(X)","(X)","(X)","","26,448","16,301","20,966","25,367","38,758","50,082"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.5%","27.6%","52.2%","8.8%","(X)","5.3%","8.5%","32.5%","22.8%","8.2%","14.6%","8.2%","86.3%","22.7%","(X)","90.0%","27.5%","(X)","88.9%","28.0%","(X)","87.8%","22.9%","(X)","79.5%","15.4%","","(X)","87.9%","23.8%","(X)","89.2%","24.3%","(X)","81.4%","16.6%","(X)","84.5%","12.1%","(X)","81.7%","46.7%","(X)","61.0%","0.0%","(X)","57.4%","11.6%","(X)","81.8%","22.8%","(X)","56.7%","11.4%","","35.9%","19.1%","14.8%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,943,137","490,779","1,166,501","1,904,349","381,508","26,085,263","2,582,757","2,060,753","5,430,081","5,603,279","1,992,703","5,285,754","3,129,936","(X)","(X)","5,832,712","5,078,189","1,985,160","5,190,370","4,220,860","1,801,173","9,872,623","8,019,913","3,066,436","5,189,558","4,122,791","1,562,921","","16,391,723","13,867,594","5,410,574","11,281,942","10,669,566","4,744,509","1,520,866","1,353,633","369,995","178,755","130,298","25,882","4,033,232","3,518,694","2,047,431","99,185","86,980","16,722","3,082,022","1,800,164","287,293","779,480","684,390","257,793","8,573,223","5,281,597","1,020,906","","(X)","(X)","(X)","(X)","","37,476","20,880","29,108","36,161","57,282","80,442"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
