"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","36,883","20.4%","30.7%","41.1%","7.8%","220,924","3.6%","4.4%","24.0%","27.3%","9.6%","20.5%","10.6%","91.9%","31.1%","52,611","93.7%","33.9%","42,761","96.6%","35.1%","92,631","92.3%","28.8%","32,921","82.2%","27.7%","","23.5%","13.1%","6.1%","2.6%","","36,465","18,750","25,509","33,932","41,870","62,577","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","665,925","17.9%","31.3%","43.1%","7.6%","4,344,737","6.4%","7.7%","24.8%","25.1%","8.6%","17.1%","10.3%","85.9%","27.4%","880,940","85.3%","26.4%","832,886","84.7%","28.5%","1,612,187","87.0%","27.7%","1,018,724","85.8%","26.7%","","32.1%","17.5%","11.9%","5.6%","","33,300","19,848","26,561","32,324","48,350","57,365","","8.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345,179","19.9%","34.1%","40.4%","5.6%","2,126,975","6.6%","8.1%","24.5%","24.8%","8.2%","17.3%","10.6%","85.3%","27.9%","453,347","83.8%","23.7%","421,107","83.5%","27.3%","784,046","86.1%","27.6%","468,475","87.1%","33.2%","","28.2%","17.0%","10.2%","5.2%","","38,467","21,966","30,437","39,859","58,174","75,747","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","320,746","15.8%","28.4%","46.1%","9.8%","2,217,762","6.2%","7.4%","25.2%","25.4%","9.1%","16.8%","10.0%","86.5%","26.8%","427,593","86.8%","29.1%","411,779","85.8%","29.7%","828,141","87.8%","27.9%","550,249","84.6%","21.1%","","35.9%","18.0%","13.4%","5.9%","","30,006","15,259","22,252","27,944","40,381","47,075","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","287,248","13.8%","32.8%","46.7%","6.7%","1,960,503","5.6%","10.0%","35.3%","22.4%","6.1%","13.4%","7.2%","84.4%","20.6%","383,853","87.3%","23.2%","367,589","87.7%","23.7%","755,519","85.8%","20.1%","453,542","77.1%","16.8%","","28.3%","16.4%","12.9%","4.8%","","30,397","20,092","25,584","29,778","43,365","55,137","","6.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","147,339","16.0%","36.0%","42.5%","5.5%","943,196","5.8%","10.3%","37.4%","21.2%","4.9%","13.2%","7.2%","83.9%","20.4%","193,428","86.1%","20.5%","179,831","86.9%","22.7%","369,557","84.2%","18.8%","200,380","78.3%","21.2%","","23.6%","14.2%","11.0%","4.1%","","35,392","21,980","30,512","36,586","51,565","68,106","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","139,909","11.5%","29.5%","51.1%","8.0%","1,017,307","5.3%","9.8%","33.4%","23.5%","7.2%","13.6%","7.2%","84.9%","20.8%","190,425","88.5%","25.9%","187,758","88.4%","24.7%","385,962","87.2%","21.3%","253,162","76.1%","13.3%","","33.0%","18.7%","14.4%","5.4%","","25,264","16,507","20,485","24,229","38,062","50,084","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,011,105","13.9%","28.8%","48.1%","9.2%","25,147,232","10.1%","8.2%","20.8%","22.0%","7.9%","19.5%","11.5%","81.7%","31.0%","5,582,572","85.4%","32.1%","5,159,912","80.4%","32.7%","9,610,640","81.7%","30.6%","4,794,108","78.6%","28.8%","","26.2%","16.0%","11.5%","5.7%","","36,297","19,057","27,262","35,888","54,931","77,093","","8.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,077,525","16.4%","31.2%","45.0%","7.4%","12,296,984","9.8%","8.9%","21.2%","21.7%","7.2%","19.2%","12.0%","81.3%","31.3%","2,871,993","83.5%","28.8%","2,588,374","79.3%","31.0%","4,723,457","81.3%","31.2%","2,113,160","80.8%","35.1%","","22.8%","14.4%","9.9%","5.2%","","41,160","21,958","30,968","41,700","65,630","95,095","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,933,580","11.3%","26.2%","51.4%","11.1%","12,850,248","10.3%","7.6%","20.4%","22.2%","8.5%","19.8%","11.1%","82.0%","30.8%","2,710,579","87.4%","35.7%","2,571,538","81.6%","34.4%","4,887,183","82.1%","30.0%","2,680,948","76.8%","23.9%","","29.5%","17.6%","13.0%","6.1%","","31,248","14,753","23,079","30,669","46,508","64,717","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","512,807","15.8%","25.7%","47.7%","10.9%","3,514,235","3.7%","5.8%","21.7%","22.8%","8.3%","23.8%","14.0%","90.5%","37.8%","776,660","90.5%","37.0%","720,347","89.4%","41.5%","1,372,285","92.1%","38.1%","644,943","88.7%","34.1%","","25.5%","13.3%","8.8%","4.6%","","37,204","21,624","30,011","33,594","46,891","61,730","","7.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","269,882","18.1%","27.4%","45.6%","8.9%","1,741,300","3.9%","6.3%","21.8%","22.6%","7.5%","23.7%","14.2%","89.9%","37.9%","400,835","88.8%","32.8%","371,412","88.4%","39.3%","678,720","91.3%","38.2%","290,333","89.9%","42.4%","","20.7%","12.2%","7.1%","3.8%","","44,360","26,069","34,369","40,963","59,986","80,124","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","242,925","13.2%","23.7%","49.9%","13.1%","1,772,935","3.5%","5.3%","21.5%","23.0%","9.0%","24.0%","13.7%","91.2%","37.7%","375,825","92.2%","41.5%","348,935","90.4%","43.8%","693,565","92.9%","37.9%","354,610","87.7%","27.3%","","30.7%","14.5%","10.4%","5.4%","","30,890","15,115","23,075","27,826","37,911","50,417","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","345,423","12.9%","27.2%","46.9%","13.0%","2,465,315","4.5%","5.9%","27.3%","17.7%","7.5%","20.6%","16.6%","89.7%","37.2%","439,149","91.8%","41.2%","448,157","91.5%","42.0%","1,033,503","91.7%","38.2%","544,506","82.6%","28.3%","","23.7%","11.2%","8.2%","3.4%","","42,923","21,400","32,101","38,592","57,413","75,743","","6.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,645","15.8%","31.7%","40.9%","11.5%","1,173,750","4.8%","6.1%","28.2%","17.2%","6.5%","20.6%","16.6%","89.1%","37.2%","219,861","89.9%","35.4%","219,165","90.0%","38.3%","501,434","91.0%","38.6%","233,290","83.2%","35.0%","","20.3%","9.6%","6.2%","3.0%","","51,444","23,401","38,409","46,992","74,957","95,483","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","166,778","9.7%","22.4%","53.3%","14.5%","1,291,565","4.2%","5.6%","26.5%","18.1%","8.4%","20.7%","16.5%","90.2%","37.2%","219,288","93.7%","47.0%","228,992","92.9%","45.4%","532,069","92.4%","37.8%","311,216","82.0%","23.3%","","27.1%","12.9%","9.8%","3.8%","","36,497","18,467","26,690","31,820","45,680","62,473","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","92,331","13.9%","35.0%","38.2%","13.0%","629,730","3.9%","7.7%","31.2%","19.7%","7.7%","17.2%","12.6%","88.3%","29.8%","119,039","87.9%","34.6%","111,785","88.4%","34.4%","251,961","91.1%","29.2%","146,945","83.9%","23.3%","","23.8%","12.2%","8.2%","3.4%","","37,308","20,661","29,669","36,767","47,136","65,631","","7.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,252","16.6%","35.7%","36.1%","11.6%","298,166","4.4%","8.0%","31.6%","19.4%","6.7%","17.1%","12.8%","87.6%","29.9%","59,186","87.6%","30.7%","54,212","86.0%","32.2%","119,571","89.7%","29.2%","65,197","84.9%","28.7%","","18.6%","10.2%","6.6%","3.2%","","42,072","25,733","32,342","43,285","53,435","76,098","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,079","11.2%","34.2%","40.3%","14.3%","331,564","3.5%","7.5%","30.9%","19.9%","8.6%","17.2%","12.4%","89.0%","29.6%","59,853","88.1%","38.5%","57,573","90.7%","36.5%","132,390","92.3%","29.1%","81,748","83.1%","19.0%","","28.7%","14.1%","9.4%","3.7%","","32,013","15,120","24,057","32,011","41,527","55,462","","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,903","11.2%","22.6%","42.8%","23.4%","453,014","3.8%","6.1%","18.6%","13.4%","3.1%","22.7%","32.4%","90.1%","55.1%","144,746","95.9%","71.1%","89,855","94.1%","59.7%","144,452","86.7%","44.4%","73,961","80.5%","39.2%","","39.3%","27.0%","17.2%","5.4%","","55,125","20,198","26,642","36,202","60,508","81,522","","9.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,256","14.1%","27.0%","41.0%","17.9%","211,862","3.9%","6.3%","18.4%","12.2%","2.6%","23.8%","32.7%","89.8%","56.6%","67,097","95.2%","69.6%","44,778","95.2%","60.7%","69,820","85.4%","46.3%","30,167","80.3%","45.3%","","37.0%","20.7%","14.2%","4.6%","","57,395","19,841","27,845","40,017","62,391","92,055","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,647","8.5%","18.8%","44.5%","28.2%","241,152","3.7%","5.9%","18.7%","14.4%","3.4%","21.7%","32.1%","90.3%","53.8%","77,649","96.5%","72.3%","45,077","93.1%","58.6%","74,632","87.9%","42.6%","43,794","80.7%","35.0%","","41.3%","32.4%","19.3%","6.1%","","51,563","20,922","25,814","33,267","55,421","75,196","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,797,134","16.7%","30.6%","45.0%","7.8%","13,726,996","5.3%","7.9%","29.5%","20.7%","9.5%","17.6%","9.7%","86.8%","27.2%","2,435,386","87.9%","27.3%","2,409,505","88.0%","29.5%","5,237,822","88.7%","27.4%","3,644,283","82.7%","25.3%","","28.5%","16.7%","11.7%","6.4%","","30,870","19,078","24,540","30,472","42,190","56,811","","9.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","921,376","19.1%","34.3%","40.6%","5.9%","6,577,975","5.5%","8.4%","29.3%","20.4%","8.5%","17.6%","10.3%","86.1%","27.9%","1,233,600","85.7%","23.1%","1,192,079","85.9%","26.6%","2,519,517","87.5%","28.1%","1,632,779","84.2%","32.0%","","26.0%","15.0%","9.8%","5.9%","","34,263","21,151","27,375","34,354","51,395","71,471","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","875,758","14.1%","26.7%","49.5%","9.7%","7,149,021","5.1%","7.3%","29.6%","21.0%","10.4%","17.5%","9.1%","87.6%","26.6%","1,201,786","90.2%","31.7%","1,217,426","90.1%","32.4%","2,718,305","89.8%","26.8%","2,011,504","81.4%","19.8%","","31.1%","18.3%","13.2%","6.9%","","27,154","15,911","21,286","26,750","37,689","48,069","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,029,614","18.0%","29.6%","44.3%","8.1%","6,472,172","5.6%","9.0%","28.6%","21.2%","7.4%","17.8%","10.6%","85.5%","28.3%","1,347,160","86.2%","29.6%","1,391,341","87.1%","31.9%","2,542,898","87.6%","28.2%","1,190,773","78.2%","23.0%","","31.8%","17.9%","12.8%","5.1%","","32,284","19,172","25,926","31,244","49,053","59,111","","7.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","526,193","20.3%","32.3%","40.8%","6.6%","3,081,099","6.0%","9.6%","29.7%","20.1%","6.5%","17.8%","10.2%","84.4%","28.1%","667,301","83.3%","25.6%","679,266","85.0%","29.3%","1,220,931","86.2%","28.2%","513,601","80.5%","29.4%","","27.6%","14.6%","9.6%","4.6%","","38,353","21,538","30,712","37,590","60,752","75,396","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","503,421","15.6%","26.8%","47.9%","9.7%","3,391,073","5.1%","8.4%","27.5%","22.2%","8.2%","17.7%","10.8%","86.5%","28.6%","679,859","89.1%","33.5%","712,075","89.2%","34.4%","1,321,967","88.9%","28.2%","677,172","76.5%","18.2%","","36.1%","21.1%","15.4%","5.5%","","27,879","15,087","21,348","26,308","40,409","50,827","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","136,925","8.7%","33.4%","48.5%","9.3%","959,903","3.9%","5.1%","27.4%","22.0%","10.4%","20.8%","10.4%","91.0%","31.2%","204,167","95.5%","31.6%","177,174","95.2%","35.0%","358,454","91.6%","32.2%","220,108","82.6%","26.0%","","17.7%","12.4%","9.2%","4.4%","","37,226","22,042","30,529","36,018","45,783","61,683","","7.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,755","10.6%","35.9%","46.6%","6.9%","476,429","3.2%","5.3%","28.1%","22.7%","10.4%","20.4%","9.9%","91.5%","30.3%","109,179","95.6%","26.1%","90,996","93.6%","31.5%","178,257","91.6%","31.8%","97,997","84.8%","31.1%","","18.4%","11.1%","7.5%","3.6%","","42,094","24,560","34,113","41,881","52,090","79,975","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","61,170","6.4%","30.4%","50.9%","12.2%","483,474","4.6%","4.9%","26.8%","21.3%","10.4%","21.1%","11.0%","90.5%","32.1%","94,988","95.3%","38.0%","86,178","96.8%","38.8%","180,197","91.5%","32.6%","122,111","80.9%","21.9%","","17.1%","13.7%","11.0%","5.1%","","31,788","18,699","25,050","30,067","39,753","51,781","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","158,393","13.8%","34.8%","43.9%","7.4%","1,026,889","4.3%","6.3%","27.4%","26.7%","9.1%","18.0%","8.2%","89.4%","26.2%","207,643","90.7%","25.7%","195,107","89.9%","30.0%","401,035","90.2%","26.1%","223,104","86.3%","23.7%","","24.1%","13.0%","11.2%","6.3%","","30,477","20,425","25,126","29,000","38,960","56,773","","8.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81,995","16.5%","38.2%","40.6%","4.7%","506,423","4.7%","7.0%","27.6%","25.7%","7.9%","17.8%","9.3%","88.3%","27.2%","104,645","89.9%","23.8%","99,245","88.6%","30.0%","198,361","88.6%","26.4%","104,172","85.9%","29.2%","","22.8%","11.6%","9.5%","6.2%","","36,547","26,745","31,652","35,248","50,329","72,137","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,398","11.0%","31.1%","47.5%","10.4%","520,466","3.9%","5.7%","27.3%","27.6%","10.2%","18.2%","7.1%","90.4%","25.3%","102,998","91.4%","27.5%","95,862","91.3%","30.0%","202,674","91.8%","25.8%","118,932","86.5%","18.9%","","25.7%","14.3%","12.7%","6.4%","","22,776","11,382","19,697","22,419","30,945","45,791","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,266,315","13.6%","27.7%","46.4%","12.3%","8,593,665","5.5%","6.6%","27.0%","21.1%","7.6%","19.8%","12.4%","87.8%","32.1%","1,779,710","90.3%","38.8%","1,689,992","88.3%","36.4%","3,383,875","89.4%","31.3%","1,740,088","81.8%","22.6%","","24.5%","14.2%","10.8%","4.8%","","37,343","21,152","29,119","33,400","51,107","68,340","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","647,383","16.0%","30.4%","43.3%","10.3%","4,134,323","5.6%","7.2%","27.7%","20.8%","6.8%","19.5%","12.4%","87.2%","31.8%","891,692","88.9%","34.4%","845,147","87.3%","34.4%","1,651,129","88.4%","31.0%","746,355","82.3%","27.8%","","21.5%","12.2%","8.4%","4.5%","","45,134","25,122","34,612","41,812","62,318","85,765","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","618,932","11.2%","24.8%","49.6%","14.4%","4,459,342","5.4%","6.1%","26.4%","21.3%","8.4%","20.1%","12.3%","88.4%","32.4%","888,018","91.8%","43.3%","844,845","89.3%","38.4%","1,732,746","90.3%","31.6%","993,733","81.5%","18.8%","","27.5%","16.3%","12.9%","5.2%","","31,180","16,381","22,467","27,463","41,586","57,612","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","670,468","17.1%","31.3%","42.8%","8.8%","4,312,892","4.1%","8.3%","34.3%","21.3%","8.2%","15.2%","8.6%","87.6%","23.8%","840,482","87.2%","27.4%","826,166","90.1%","27.2%","1,730,411","89.7%","23.7%","915,833","81.5%","17.6%","","27.9%","12.8%","11.5%","4.4%","","32,622","20,392","27,928","31,675","44,939","59,150","","5.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
