"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","3,004,279","1,479,682","1,524,597","97.1","186,640","199,930","199,660","209,425","200,226","382,786","370,996","375,887","194,372","187,333","291,595","151,735","53,694","38.1","708,433","2,375,324","2,295,846","2,165,739","607,540","497,024","2,295,846","1,114,008","1,181,838","94.3","497,024","221,324","275,700","80.3","","3,004,279","2,919,110","85,169","2,919,110","2,293,307","458,367","19,110","N","N","N","N","47,885","10,973","9,179","3,874","1,302","2,941","7,001","12,615","8,551","N","N","N","N","91,890","85,169","23,910","35,419","8,912","4,380","","3,004,279","2,371,107","490,755","62,037","59,531","10,922","98,855","","3,004,279","223,764","165,990","6,988","2,589","48,197","2,780,515","2,173,307","455,500","16,901","46,583","8,220","7,629","72,375","844","71,531","1,370,109","","2,207,894","1,065,667","1,142,227"
"    Percent","","3,004,279","49.3%","50.7%","(X)","6.2%","6.7%","6.6%","7.0%","6.7%","12.7%","12.3%","12.5%","6.5%","6.2%","9.7%","5.1%","1.8%","(X)","23.6%","79.1%","76.4%","72.1%","20.2%","16.5%","2,295,846","48.5%","51.5%","(X)","497,024","44.5%","55.5%","(X)","","3,004,279","97.2%","2.8%","97.2%","76.3%","15.3%","0.6%","N","N","N","N","1.6%","0.4%","0.3%","0.1%","0.0%","0.1%","0.2%","0.4%","0.3%","N","N","N","N","3.1%","2.8%","0.8%","1.2%","0.3%","0.1%","","3,004,279","78.9%","16.3%","2.1%","2.0%","0.4%","3.3%","","3,004,279","7.4%","5.5%","0.2%","0.1%","1.6%","92.6%","72.3%","15.2%","0.6%","1.6%","0.3%","0.3%","2.4%","0.0%","2.4%","(X)","","2,207,894","48.3%","51.7%"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","39,536,653","19,650,051","19,886,602","98.8","2,460,425","2,468,508","2,597,863","2,569,487","2,761,097","6,018,225","5,232,877","5,159,747","2,495,755","2,267,852","3,198,555","1,585,672","720,590","36.5","9,057,386","31,510,759","30,479,267","28,872,308","6,822,072","5,504,817","30,479,267","15,017,561","15,461,706","97.1","5,504,817","2,443,427","3,061,390","79.8","","39,536,653","37,598,576","1,938,077","37,598,576","23,181,769","2,271,917","313,859","19,833","3,225","7,947","3,777","5,765,305","788,961","1,581,092","1,302,487","271,386","476,180","666,955","678,244","153,923","29,034","22,802","35,249","66,838","5,911,803","1,938,077","278,493","292,512","578,638","36,547","","39,536,653","24,791,383","2,775,059","778,571","6,634,125","321,326","6,371,342","","39,536,653","15,477,306","12,797,295","224,500","110,702","2,344,809","24,059,347","14,616,636","2,164,239","147,880","5,679,986","137,520","107,223","1,205,863","59,147","1,146,716","14,177,270","","25,650,455","12,596,031","13,054,424"
"    Percent","","39,536,653","49.7%","50.3%","(X)","6.2%","6.2%","6.6%","6.5%","7.0%","15.2%","13.2%","13.1%","6.3%","5.7%","8.1%","4.0%","1.8%","(X)","22.9%","79.7%","77.1%","73.0%","17.3%","13.9%","30,479,267","49.3%","50.7%","(X)","5,504,817","44.4%","55.6%","(X)","","39,536,653","95.1%","4.9%","95.1%","58.6%","5.7%","0.8%","0.1%","0.0%","0.0%","0.0%","14.6%","2.0%","4.0%","3.3%","0.7%","1.2%","1.7%","1.7%","0.4%","0.1%","0.1%","0.1%","0.2%","15.0%","4.9%","0.7%","0.7%","1.5%","0.1%","","39,536,653","62.7%","7.0%","2.0%","16.8%","0.8%","16.1%","","39,536,653","39.1%","32.4%","0.6%","0.3%","5.9%","60.9%","37.0%","5.5%","0.4%","14.4%","0.3%","0.3%","3.0%","0.1%","2.9%","(X)","","25,650,455","49.1%","50.9%"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,607,154","2,820,169","2,786,985","101.2","332,593","346,265","369,721","361,580","374,927","867,170","762,156","714,756","367,628","336,659","481,344","208,191","84,164","36.8","1,262,359","4,488,813","4,344,795","4,123,152","971,549","773,699","4,344,795","2,172,597","2,172,198","100.0","773,699","353,208","420,491","84.0","","5,607,154","5,413,563","193,591","5,413,563","4,720,495","229,436","56,792","4,862","1,069","9,006","4,046","179,251","30,602","33,739","15,655","10,756","16,886","29,343","42,270","8,400","2,830","3,297","238","2,035","219,189","193,591","42,295","44,095","43,563","5,533","","5,607,154","4,892,392","296,260","120,124","238,802","19,163","254,201","","5,607,154","1,206,724","882,832","35,872","15,867","272,153","4,400,430","3,822,055","219,500","32,102","176,176","7,137","11,528","131,932","4,440","127,492","2,385,495","","4,057,437","2,020,660","2,036,777"
"    Percent","","5,607,154","50.3%","49.7%","(X)","5.9%","6.2%","6.6%","6.4%","6.7%","15.5%","13.6%","12.7%","6.6%","6.0%","8.6%","3.7%","1.5%","(X)","22.5%","80.1%","77.5%","73.5%","17.3%","13.8%","4,344,795","50.0%","50.0%","(X)","773,699","45.7%","54.3%","(X)","","5,607,154","96.5%","3.5%","96.5%","84.2%","4.1%","1.0%","0.1%","0.0%","0.2%","0.1%","3.2%","0.5%","0.6%","0.3%","0.2%","0.3%","0.5%","0.8%","0.1%","0.1%","0.1%","0.0%","0.0%","3.9%","3.5%","0.8%","0.8%","0.8%","0.1%","","5,607,154","87.3%","5.3%","2.1%","4.3%","0.3%","4.5%","","5,607,154","21.5%","15.7%","0.6%","0.3%","4.9%","78.5%","68.2%","3.9%","0.6%","3.1%","0.1%","0.2%","2.4%","0.1%","2.3%","(X)","","4,057,437","49.8%","50.2%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,588,184","1,750,647","1,837,537","95.3","182,194","195,071","224,082","244,257","248,726","444,141","421,380","515,325","268,023","243,891","339,078","169,679","92,337","40.9","742,278","2,937,891","2,845,906","2,690,570","744,392","601,094","2,845,906","1,370,411","1,475,495","92.9","601,094","261,185","339,909","76.8","","3,588,184","3,470,681","117,503","3,470,681","2,723,013","380,578","11,268","N","N","N","N","163,924","55,752","45,591","8,926","3,702","11,087","14,671","24,195","525","N","N","N","N","191,373","117,503","34,607","9,836","22,029","4,627","","3,588,184","2,818,010","445,192","36,406","195,709","5,397","220,354","","3,588,184","578,833","67,698","291,603","14,843","204,689","3,009,351","2,393,694","354,320","7,486","162,564","137","13,505","77,645","4,655","72,990","1,517,495","","2,611,667","1,252,709","1,358,958"
"    Percent","","3,588,184","48.8%","51.2%","(X)","5.1%","5.4%","6.2%","6.8%","6.9%","12.4%","11.7%","14.4%","7.5%","6.8%","9.4%","4.7%","2.6%","(X)","20.7%","81.9%","79.3%","75.0%","20.7%","16.8%","2,845,906","48.2%","51.8%","(X)","601,094","43.5%","56.5%","(X)","","3,588,184","96.7%","3.3%","96.7%","75.9%","10.6%","0.3%","N","N","N","N","4.6%","1.6%","1.3%","0.2%","0.1%","0.3%","0.4%","0.7%","0.0%","N","N","N","N","5.3%","3.3%","1.0%","0.3%","0.6%","0.1%","","3,588,184","78.5%","12.4%","1.0%","5.5%","0.2%","6.1%","","3,588,184","16.1%","1.9%","8.1%","0.4%","5.7%","83.9%","66.7%","9.9%","0.2%","4.5%","0.0%","0.4%","2.2%","0.1%","2.0%","(X)","","2,611,667","48.0%","52.0%"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","961,939","465,510","496,429","93.8","54,907","56,924","57,597","59,926","58,899","130,949","111,068","124,532","67,129","66,791","104,358","49,955","18,904","40.1","204,313","781,963","757,626","718,238","212,082","173,217","757,626","361,427","396,199","91.2","173,217","77,014","96,203","80.1","","961,939","932,715","29,224","932,715","662,084","210,356","2,729","N","N","N","N","38,930","18,032","8,446","4,695","724","2,284","1,133","3,616","244","N","N","N","N","18,372","29,224","13,384","3,472","3,649","1,516","","961,939","686,372","228,746","9,704","45,593","1,996","21,250","","961,939","89,540","40,024","23,514","1,187","24,815","872,399","597,917","206,690","2,344","38,404","244","1,545","25,255","626","24,629","432,853","","709,999","337,892","372,107"
"    Percent","","961,939","48.4%","51.6%","(X)","5.7%","5.9%","6.0%","6.2%","6.1%","13.6%","11.5%","12.9%","7.0%","6.9%","10.8%","5.2%","2.0%","(X)","21.2%","81.3%","78.8%","74.7%","22.0%","18.0%","757,626","47.7%","52.3%","(X)","173,217","44.5%","55.5%","(X)","","961,939","97.0%","3.0%","97.0%","68.8%","21.9%","0.3%","N","N","N","N","4.0%","1.9%","0.9%","0.5%","0.1%","0.2%","0.1%","0.4%","0.0%","N","N","N","N","1.9%","3.0%","1.4%","0.4%","0.4%","0.2%","","961,939","71.4%","23.8%","1.0%","4.7%","0.2%","2.2%","","961,939","9.3%","4.2%","2.4%","0.1%","2.6%","90.7%","62.2%","21.5%","0.2%","4.0%","0.0%","0.2%","2.6%","0.1%","2.6%","(X)","","709,999","47.6%","52.4%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","693,972","329,078","364,894","90.2","45,065","36,908","26,838","36,253","54,294","162,354","102,128","76,277","35,580","34,283","48,189","24,812","10,991","34.0","124,598","579,654","569,374","536,577","103,954","83,992","569,374","266,272","303,102","87.8","83,992","34,201","49,791","68.7","","693,972","673,363","20,609","673,363","284,536","318,220","1,690","N","N","N","N","28,499","7,763","6,845","3,294","817","3,920","3,258","2,602","302","N","N","N","N","40,116","20,609","6,820","641","5,893","1,610","","693,972","301,571","329,696","4,935","36,487","1,337","42,922","","693,972","76,526","16,912","3,845","2,830","52,939","617,446","253,416","314,705","1,574","28,056","217","3,746","15,732","388","15,344","314,843","","510,514","236,100","274,414"
"    Percent","","693,972","47.4%","52.6%","(X)","6.5%","5.3%","3.9%","5.2%","7.8%","23.4%","14.7%","11.0%","5.1%","4.9%","6.9%","3.6%","1.6%","(X)","18.0%","83.5%","82.0%","77.3%","15.0%","12.1%","569,374","46.8%","53.2%","(X)","83,992","40.7%","59.3%","(X)","","693,972","97.0%","3.0%","97.0%","41.0%","45.9%","0.2%","N","N","N","N","4.1%","1.1%","1.0%","0.5%","0.1%","0.6%","0.5%","0.4%","0.0%","N","N","N","N","5.8%","3.0%","1.0%","0.1%","0.8%","0.2%","","693,972","43.5%","47.5%","0.7%","5.3%","0.2%","6.2%","","693,972","11.0%","2.4%","0.6%","0.4%","7.6%","89.0%","36.5%","45.3%","0.2%","4.0%","0.0%","0.5%","2.3%","0.1%","2.2%","(X)","","510,514","46.2%","53.8%"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","20,984,400","10,254,267","10,730,133","95.6","1,129,322","1,140,517","1,200,363","1,228,077","1,265,944","2,707,837","2,535,767","2,761,337","1,456,547","1,343,457","2,344,869","1,324,851","545,512","42.0","4,200,780","17,280,632","16,783,620","16,022,530","4,996,231","4,215,232","16,783,620","8,114,222","8,669,398","93.6","4,215,232","1,898,142","2,317,090","81.9","","20,984,400","20,430,514","553,886","20,430,514","15,768,315","3,394,508","63,635","6,652","1,253","974","1,864","588,087","169,316","107,168","102,914","18,164","27,456","80,436","82,633","13,937","2,340","3,356","2,860","5,381","602,032","553,886","209,870","74,878","93,816","14,122","","20,984,400","16,241,493","3,692,327","178,186","738,196","35,683","699,040","","20,984,400","5,370,860","727,454","1,128,225","1,528,046","1,987,135","15,613,540","11,288,419","3,224,452","42,654","578,136","11,076","78,348","390,455","25,634","364,821","9,441,585","","15,014,950","7,226,269","7,788,681"
