"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","736,732","52.3%","47.7%","7.2%","7.2%","6.9%","6.9%","8.6%","15.4%","12.6%","13.1%","6.9%","5.6%","6.3%","2.4%","0.8%","33.3","74.6%","70.2%","12.6%","9.5%","549,963","52.9%","47.1%","69,899","49.1%","50.9%","","736,732","91.5%","8.5%","91.5%","65.6%","3.4%","14.0%","0.1%","0.1%","0.0%","0.0%","6.0%","0.1%","0.2%","3.0%","0.2%","0.8%","0.1%","1.5%","1.1%","0.2%","0.1%","0.7%","0.2%","1.4%","8.5%","1.1%","4.3%","1.0%","0.2%","","736,732","73.2%","5.3%","19.4%","7.6%","1.8%","1.9%","","736,732","6.7%","3.8%","1.0%","0.1%","1.9%","93.3%","61.8%","3.2%","13.7%","5.9%","1.1%","0.2%","7.3%","0.0%","7.3%","308,571"
"    2013 Estimate","","735,132","52.6%","47.4%","7.4%","6.9%","7.2%","7.2%","8.3%","15.5%","12.2%","13.8%","7.2%","5.4%","5.9%","2.3%","0.8%","33.1","74.4%","69.5%","11.9%","8.9%","546,766","52.8%","47.2%","65,584","49.8%","50.2%","","735,132","92.3%","7.7%","92.3%","66.4%","3.4%","14.3%","0.0%","0.0%","0.0%","0.0%","5.7%","0.2%","0.3%","2.6%","0.2%","0.8%","0.1%","1.4%","1.2%","0.3%","0.0%","0.6%","0.2%","1.3%","7.7%","1.0%","4.1%","1.0%","0.4%","","735,132","73.1%","5.1%","19.3%","7.5%","1.6%","1.6%","","735,132","6.6%","3.5%","1.0%","0.2%","1.9%","93.4%","62.5%","3.3%","13.9%","5.6%","1.2%","0.1%","6.9%","0.1%","6.7%","307,417"
"    2014 - 2013 Statistical Significance","","c","","","","","","","","","*","*","","","*","","","","*","*","*","*","*","","","*","","","","c","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","c","","","","","","","","c","*","","","","","*","*","","","","","*","","","","*"
"    2012 Estimate","","731,449","52.1%","47.9%","7.4%","7.1%","7.0%","6.8%","8.2%","14.9%","13.1%","14.2%","7.2%","5.6%","5.5%","2.2%","0.8%","33.8","74.4%","70.1%","11.4%","8.5%","544,184","52.2%","47.8%","62,119","47.9%","52.1%","","731,449","92.0%","8.0%","92.0%","66.5%","3.6%","14.0%","0.1%","0.0%","0.1%","0.0%","5.9%","0.0%","0.3%","3.2%","0.2%","0.5%","0.2%","1.4%","1.1%","0.1%","0.1%","0.6%","0.4%","0.9%","8.0%","0.7%","4.4%","0.9%","0.2%","","731,449","73.6%","5.1%","19.6%","7.6%","1.6%","1.3%","","731,449","6.0%","3.3%","0.8%","0.1%","1.7%","94.0%","63.0%","3.4%","13.8%","5.8%","1.1%","0.1%","7.0%","0.1%","6.9%","307,628"
"    2014 - 2012 Statistical Significance","","c","","","","","","","*","*","*","*","","","*","","","*","*","","*","*","*","*","*","*","","","","c","","","","*","","","","","","","","","","","","*","","","","","","","","*","","","","","","","c","","","","","*","*","","c","*","","","","","*","*","","","","","","","","","*"
"    2011 Estimate","","722,718","51.6%","48.4%","7.5%","7.0%","7.3%","6.9%","8.1%","14.7%","12.9%","14.9%","7.3%","5.3%","5.2%","2.2%","0.7%","33.9","74.0%","69.6%","11.1%","8.1%","534,495","51.9%","48.1%","58,367","48.7%","51.3%","","722,718","91.7%","8.3%","91.7%","66.8%","3.2%","14.2%","0.1%","0.0%","0.0%","0.0%","5.3%","0.1%","0.3%","2.5%","0.3%","0.8%","0.2%","1.1%","1.1%","0.1%","0.1%","0.8%","0.1%","1.2%","8.3%","0.8%","4.4%","1.1%","0.5%","","722,718","73.8%","5.0%","19.7%","6.9%","1.6%","1.7%","","722,718","5.8%","3.1%","0.8%","0.2%","1.7%","94.2%","63.6%","3.0%","13.8%","5.3%","1.0%","0.1%","7.4%","0.0%","7.4%","311,182"
"    2014 - 2011 Statistical Significance","","c","*","*","*","","","","*","*","","*","","","*","","","*","*","*","*","*","*","*","*","*","","","","c","","","","*","","","","","*","","*","","","","","","","","","","","","","","","","","","*","","c","","","","*","","","","c","*","*","","","","*","*","","","*","","*","","","","*"
"    2010 Estimate","","713,985","52.2%","47.8%","7.5%","7.0%","7.3%","7.2%","7.8%","14.5%","13.1%","15.7%","7.1%","5.2%","4.8%","2.1%","0.6%","33.8","73.6%","69.2%","10.6%","7.5%","525,600","52.2%","47.8%","53,339","47.9%","52.1%","","713,985","93.0%","7.0%","93.0%","67.4%","3.5%","14.6%","0.1%","0.0%","0.1%","0.1%","5.5%","0.1%","0.3%","2.8%","0.3%","0.6%","0.0%","1.4%","1.1%","0.2%","0.0%","0.7%","0.2%","0.9%","7.0%","0.5%","3.7%","0.9%","0.2%","","713,985","73.8%","4.6%","19.3%","7.0%","1.7%","1.3%","","713,985","5.7%","3.8%","0.7%","0.1%","1.1%","94.3%","64.0%","3.2%","14.2%","5.3%","1.0%","0.1%","6.5%","0.1%","6.4%","307,065"
"    2014 - 2010 Statistical Significance","","c","","","*","","","","*","*","*","*","","","*","*","*","*","*","*","*","*","*","*","*","*","","","","c","*","*","*","*","","","","","","","","","","","","","","","","","","","","*","*","*","*","","","","c","","*","","*","","*","","c","*","","","","*","*","*","","","*","","","*","","*","*"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","6,731,484","49.7%","50.3%","6.4%","6.8%","6.8%","6.8%","7.3%","13.3%","12.5%","12.4%","6.1%","5.7%","9.2%","4.9%","1.8%","36.9","75.9%","71.6%","19.3%","15.9%","5,109,413","49.2%","50.8%","1,070,757","46.0%","54.0%","","6,731,484","96.7%","3.3%","96.7%","78.3%","4.2%","4.4%","0.0%","0.0%","2.2%","0.0%","3.2%","0.7%","0.6%","0.6%","0.1%","0.2%","0.5%","0.5%","0.2%","0.0%","0.0%","0.0%","0.1%","6.4%","3.3%","0.8%","0.7%","0.5%","0.1%","","6,731,484","81.2%","5.3%","5.5%","4.0%","0.4%","7.2%","","6,731,484","30.5%","27.5%","0.6%","0.2%","2.2%","69.5%","56.1%","3.9%","4.0%","3.1%","0.2%","0.1%","2.1%","0.1%","2.0%","2,909,336"
"    2013 Estimate","","6,626,624","49.8%","50.2%","6.5%","7.0%","6.8%","6.9%","7.3%","13.3%","12.6%","12.6%","6.0%","5.7%","8.9%","4.7%","1.8%","36.8","75.6%","71.4%","18.8%","15.4%","5,010,662","49.3%","50.7%","1,018,724","46.0%","54.0%","","6,626,624","96.8%","3.2%","96.8%","79.0%","4.2%","4.4%","0.0%","0.0%","2.1%","0.0%","2.9%","0.6%","0.5%","0.5%","0.2%","0.2%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.2%","3.2%","0.6%","0.7%","0.7%","0.1%","","6,626,624","81.7%","5.2%","5.4%","3.9%","0.4%","6.9%","","6,626,624","30.3%","27.3%","0.7%","0.2%","2.1%","69.7%","56.6%","4.0%","3.9%","2.8%","0.2%","0.1%","2.1%","0.1%","2.0%","2,892,359"
"    2014 - 2013 Statistical Significance","","c","*","*","*","*","","","","","*","*","","","*","*","","","*","*","*","*","*","*","*","*","","","","c","","","","*","","","","","","","*","","","","","","","","","*","","","","","","*","","*","","","c","*","*","","","","","","c","c","","","","","c","*","","","*","","","","*","","*"
"    2012 Estimate","","6,553,255","49.8%","50.2%","6.7%","6.9%","7.0%","6.9%","7.2%","13.4%","12.7%","12.8%","6.0%","5.7%","8.5%","4.5%","1.7%","36.6","75.3%","71.0%","18.2%","14.8%","4,933,670","49.3%","50.7%","971,086","45.7%","54.3%","","6,553,255","97.1%","2.9%","97.1%","78.8%","4.4%","4.4%","0.1%","0.0%","2.2%","0.0%","2.9%","0.7%","0.5%","0.5%","0.2%","0.3%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.4%","2.9%","0.5%","0.7%","0.5%","0.1%","","6,553,255","81.2%","5.2%","5.4%","3.7%","0.5%","7.1%","","6,553,255","30.2%","27.2%","0.5%","0.2%","2.3%","69.8%","56.9%","4.0%","4.0%","2.8%","0.2%","0.1%","1.8%","0.1%","1.7%","2,871,486"
"    2014 - 2012 Statistical Significance","","c","*","*","*","","","","","","*","*","","","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","*","","","","","","*","","","","","","*","","","*","","","","","*","*","","","","","c","","","*","*","","","","c","c","*","","","","c","*","","","*","","","*","","*","*"
"    2011 Estimate","","6,482,505","49.8%","50.2%","6.9%","7.0%","7.0%","7.0%","7.1%","13.4%","12.7%","13.0%","6.0%","5.7%","8.1%","4.5%","1.7%","36.2","74.9%","70.4%","17.6%","14.2%","4,858,481","49.3%","50.7%","923,153","45.7%","54.3%","","6,482,505","97.0%","3.0%","97.0%","79.3%","4.1%","4.5%","0.0%","0.0%","2.2%","0.0%","2.7%","0.5%","0.6%","0.5%","0.2%","0.2%","0.4%","0.3%","0.2%","0.1%","0.0%","0.0%","0.1%","6.2%","3.0%","0.6%","0.6%","0.6%","0.1%","","6,482,505","81.9%","5.0%","5.3%","3.6%","0.4%","7.0%","","6,482,505","30.1%","27.3%","0.4%","0.2%","2.2%","69.9%","57.3%","3.9%","4.1%","2.7%","0.2%","0.1%","1.8%","0.1%","1.7%","2,864,360"
"    2014 - 2011 Statistical Significance","","c","*","*","*","*","","*","*","","*","*","","","*","*","","*","*","*","*","*","*","*","*","*","*","*","","c","*","*","*","*","","","","","","","*","*","","","","","","*","","*","","*","","","*","*","*","","","","c","*","*","","*","*","","","c","c","","*","*","","c","*","","*","*","","","*","","*","*"
"    2010 Estimate","","6,413,737","49.7%","50.3%","7.1%","7.0%","7.1%","7.2%","6.9%","13.4%","12.8%","13.2%","5.9%","5.6%","7.8%","4.4%","1.6%","35.9","74.5%","70.2%","17.0%","13.8%","4,781,326","49.2%","50.8%","886,795","45.6%","54.4%","","6,413,737","97.4%","2.6%","97.4%","79.4%","4.1%","4.5%","0.1%","0.0%","2.2%","0.0%","2.7%","0.5%","0.7%","0.5%","0.1%","0.3%","0.4%","0.3%","0.2%","0.0%","0.0%","0.1%","0.1%","6.4%","2.6%","0.5%","0.5%","0.6%","0.1%","","6,413,737","81.7%","4.9%","5.2%","3.5%","0.4%","7.1%","","6,413,737","29.8%","26.9%","0.5%","0.2%","2.1%","70.2%","57.7%","3.9%","4.1%","2.7%","0.2%","0.1%","1.6%","0.1%","1.5%","2,846,738"
"    2014 - 2010 Statistical Significance","","c","*","*","*","*","*","*","*","*","*","*","*","","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","*","","","","*","*","","","","","*","*","","","","","","","*","*","*","","*","","c","*","*","*","*","","","","c","c","*","","","","c","*","","*","*","","","*","","*","*"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","2,966,369","49.1%","50.9%","6.4%","6.7%","6.6%","6.9%","7.0%","12.8%","12.6%","12.8%","6.5%","6.0%","9.1%","4.7%","1.9%","37.8","76.2%","71.9%","19.2%","15.7%","2,260,229","48.5%","51.5%","465,012","44.4%","55.6%","","2,966,369","97.8%","2.2%","97.8%","78.3%","15.8%","0.6%","N","N","N","N","1.2%","0.3%","0.2%","0.1%","0.0%","0.1%","0.2%","0.3%","0.2%","N","N","N","N","1.7%","2.2%","0.6%","0.9%","0.3%","0.0%","","2,966,369","80.3%","16.5%","1.6%","1.6%","0.3%","1.9%","","2,966,369","6.9%","5.2%","0.2%","0.1%","1.5%","93.1%","73.4%","15.7%","0.5%","1.2%","0.2%","0.1%","1.9%","0.0%","1.9%","1,341,081"
"    2013 Estimate","","2,959,373","49.4%","50.6%","6.4%","7.1%","6.6%","6.7%","7.0%","13.0%","12.4%","13.1%","6.5%","5.9%","8.8%","4.7%","1.8%","37.8","76.0%","71.8%","18.7%","15.3%","2,247,751","48.5%","51.5%","453,542","44.2%","55.8%","","2,959,373","97.8%","2.2%","97.8%","77.9%","15.7%","0.6%","0.3%","0.0%","0.0%","0.0%","1.3%","0.3%","0.2%","0.2%","0.0%","0.1%","0.2%","0.4%","0.0%","N","N","N","N","2.3%","2.2%","0.7%","0.8%","0.2%","0.1%","","2,959,373","79.9%","16.6%","1.6%","1.6%","0.1%","2.5%","","2,959,373","6.9%","5.4%","0.2%","0.0%","1.3%","93.1%","73.6%","15.6%","0.5%","1.3%","0.0%","0.1%","2.0%","0.0%","1.9%","1,329,777"
"    2014 - 2013 Statistical Significance","","c","*","*","","*","","*","","","","*","","","*","","","","*","","*","*","*","","","*","","","","c","","","","*","","","","","","","","","","","","","","","*","","","","","*","","","*","","","","c","*","","","","*","*","","c","*","","","*","","*","*","","","","*","","","","","*"
