"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    Estimate","","2,921,606","1,430,837","1,490,769","194,451","195,858","201,519","210,433","199,923","368,047","371,843","405,044","181,907","172,506","235,270","132,036","52,769","37.3","2,210,476","2,074,924","521,016","420,075","2,210,476","1,069,304","1,141,172","420,075","183,461","236,614","","2,921,606","2,872,449","49,157","2,872,449","2,289,695","464,411","18,625","8,093","242","0","211","33,240","5,326","3,432","4,418","918","1,405","5,515","12,226","5,090","N","N","N","N","61,388","49,157","12,910","21,512","3,873","625","","2,921,606","2,336,002","480,407","42,959","38,999","7,764","67,397","","2,921,606","182,674","138,281","5,540","688","38,165","2,738,932","2,176,442","462,053","17,049","32,837","5,023","3,556","41,972","1,149","40,823","1,317,818"
"    Percent","","2,921,606","49.0%","51.0%","6.7%","6.7%","6.9%","7.2%","6.8%","12.6%","12.7%","13.9%","6.2%","5.9%","8.1%","4.5%","1.8%","(X)","75.7%","71.0%","17.8%","14.4%","2,210,476","48.4%","51.6%","420,075","43.7%","56.3%","","2,921,606","98.3%","1.7%","98.3%","78.4%","15.9%","0.6%","0.3%","0.0%","0.0%","0.0%","1.1%","0.2%","0.1%","0.2%","0.0%","0.0%","0.2%","0.4%","0.2%","N","N","N","N","2.1%","1.7%","0.4%","0.7%","0.1%","0.0%","","2,921,606","80.0%","16.4%","1.5%","1.3%","0.3%","2.3%","","2,921,606","6.3%","4.7%","0.2%","0.0%","1.3%","93.7%","74.5%","15.8%","0.6%","1.1%","0.2%","0.1%","1.4%","0.0%","1.4%","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","37,349,363","18,570,505","18,778,858","2,528,898","2,536,654","2,578,286","2,825,690","2,782,635","5,323,453","5,191,065","5,245,537","2,187,492","1,880,158","2,291,045","1,364,357","614,093","35.2","28,042,134","26,277,886","5,350,874","4,269,495","28,042,134","13,804,975","14,237,159","4,269,495","1,856,430","2,413,065","","37,349,363","35,781,083","1,568,280","35,781,083","23,322,954","2,246,353","281,908","24,662","2,478","6,269","5,453","4,900,963","515,133","1,288,070","1,184,835","278,735","467,165","602,086","564,939","142,932","21,481","25,191","42,421","53,839","4,885,973","1,568,280","204,918","243,256","411,508","42,149","","37,349,363","24,611,291","2,649,422","670,960","5,540,174","289,873","5,301,856","","37,349,363","14,089,411","11,778,396","196,445","94,334","2,020,236","23,259,952","14,948,814","2,154,356","149,096","4,836,727","133,612","73,493","963,854","52,268","911,586","13,682,976"
"    Percent","","37,349,363","49.7%","50.3%","6.8%","6.8%","6.9%","7.6%","7.5%","14.3%","13.9%","14.0%","5.9%","5.0%","6.1%","3.7%","1.6%","(X)","75.1%","70.4%","14.3%","11.4%","28,042,134","49.2%","50.8%","4,269,495","43.5%","56.5%","","37,349,363","95.8%","4.2%","95.8%","62.4%","6.0%","0.8%","0.1%","0.0%","0.0%","0.0%","13.1%","1.4%","3.4%","3.2%","0.7%","1.3%","1.6%","1.5%","0.4%","0.1%","0.1%","0.1%","0.1%","13.1%","4.2%","0.5%","0.7%","1.1%","0.1%","","37,349,363","65.9%","7.1%","1.8%","14.8%","0.8%","14.2%","","37,349,363","37.7%","31.5%","0.5%","0.3%","5.4%","62.3%","40.0%","5.8%","0.4%","12.9%","0.4%","0.2%","2.6%","0.1%","2.4%","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,049,071","2,531,362","2,517,709","342,277","354,521","330,545","343,494","350,189","728,299","703,506","741,051","331,534","272,017","310,844","168,956","71,838","36.0","3,820,393","3,610,707","705,315","551,638","3,820,393","1,899,660","1,920,733","551,638","245,132","306,506","","5,049,071","4,876,834","172,237","4,876,834","4,208,365","198,117","49,608","3,653","498","7,749","4,108","133,796","14,006","22,866","13,154","9,627","20,822","27,045","26,276","4,922","1,702","2,212","194","814","282,026","172,237","28,341","43,477","35,712","2,381","","5,049,071","4,359,904","247,808","108,671","190,340","16,697","317,772","","5,049,071","1,047,700","811,192","23,192","5,121","208,195","4,001,371","3,528,477","189,658","26,890","131,852","4,313","6,092","114,089","4,947","109,142","2,214,262"
"    Percent","","5,049,071","50.1%","49.9%","6.8%","7.0%","6.5%","6.8%","6.9%","14.4%","13.9%","14.7%","6.6%","5.4%","6.2%","3.3%","1.4%","(X)","75.7%","71.5%","14.0%","10.9%","3,820,393","49.7%","50.3%","551,638","44.4%","55.6%","","5,049,071","96.6%","3.4%","96.6%","83.3%","3.9%","1.0%","0.1%","0.0%","0.2%","0.1%","2.6%","0.3%","0.5%","0.3%","0.2%","0.4%","0.5%","0.5%","0.1%","0.0%","0.0%","0.0%","0.0%","5.6%","3.4%","0.6%","0.9%","0.7%","0.0%","","5,049,071","86.4%","4.9%","2.2%","3.8%","0.3%","6.3%","","5,049,071","20.8%","16.1%","0.5%","0.1%","4.1%","79.2%","69.9%","3.8%","0.5%","2.6%","0.1%","0.1%","2.3%","0.1%","2.2%","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,577,073","1,738,918","1,838,155","201,685","222,475","241,092","249,494","227,944","421,750","484,117","575,026","236,797","208,540","258,657","161,882","87,614","40.0","2,761,785","2,611,374","632,019","508,153","2,761,785","1,322,574","1,439,211","508,153","213,434","294,719","","3,577,073","3,486,086","90,987","3,486,086","2,797,956","356,880","5,634","N","N","N","N","134,338","38,832","30,371","13,077","4,348","9,484","11,518","26,708","1,317","N","N","N","N","189,961","90,987","28,155","11,073","14,880","5,729","","3,577,073","2,872,261","402,971","29,836","155,442","2,609","212,833","","3,577,073","481,901","45,071","264,708","11,716","160,406","3,095,172","2,540,999","335,151","4,363","133,888","1,238","15,703","63,830","5,769","58,061","1,488,215"
"    Percent","","3,577,073","48.6%","51.4%","5.6%","6.2%","6.7%","7.0%","6.4%","11.8%","13.5%","16.1%","6.6%","5.8%","7.2%","4.5%","2.4%","(X)","77.2%","73.0%","17.7%","14.2%","2,761,785","47.9%","52.1%","508,153","42.0%","58.0%","","3,577,073","97.5%","2.5%","97.5%","78.2%","10.0%","0.2%","N","N","N","N","3.8%","1.1%","0.8%","0.4%","0.1%","0.3%","0.3%","0.7%","0.0%","N","N","N","N","5.3%","2.5%","0.8%","0.3%","0.4%","0.2%","","3,577,073","80.3%","11.3%","0.8%","4.3%","0.1%","5.9%","","3,577,073","13.5%","1.3%","7.4%","0.3%","4.5%","86.5%","71.0%","9.4%","0.1%","3.7%","0.0%","0.4%","1.8%","0.2%","1.6%","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","899,769","436,608","463,161","56,095","56,077","56,954","67,720","62,144","110,516","116,236","132,954","60,591","51,012","72,670","40,427","16,373","38.8","693,700","648,798","157,772","129,470","693,700","331,102","362,598","129,470","56,707","72,763","","899,769","876,673","23,096","876,673","636,052","191,626","2,470","N","N","N","N","27,482","11,336","7,010","3,703","620","827","655","3,331","1,191","N","N","N","N","17,852","23,096","7,780","3,882","4,265","1,539","","899,769","654,859","203,620","8,641","33,185","1,794","21,762","","899,769","73,842","29,219","21,672","2,569","20,382","825,927","587,891","189,585","1,922","27,359","553","1,153","17,464","1,044","16,420","406,489"
"    Percent","","899,769","48.5%","51.5%","6.2%","6.2%","6.3%","7.5%","6.9%","12.3%","12.9%","14.8%","6.7%","5.7%","8.1%","4.5%","1.8%","(X)","77.1%","72.1%","17.5%","14.4%","693,700","47.7%","52.3%","129,470","43.8%","56.2%","","899,769","97.4%","2.6%","97.4%","70.7%","21.3%","0.3%","N","N","N","N","3.1%","1.3%","0.8%","0.4%","0.1%","0.1%","0.1%","0.4%","0.1%","N","N","N","N","2.0%","2.6%","0.9%","0.4%","0.5%","0.2%","","899,769","72.8%","22.6%","1.0%","3.7%","0.2%","2.4%","","899,769","8.2%","3.2%","2.4%","0.3%","2.3%","91.8%","65.3%","21.1%","0.2%","3.0%","0.1%","0.1%","1.9%","0.1%","1.8%","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","604,453","285,729","318,724","32,861","27,268","23,969","42,688","60,843","126,322","81,404","75,377","32,932","31,362","37,510","21,240","10,677","33.9","503,186","465,535","86,815","69,427","503,186","234,233","268,953","69,427","27,668","41,759","","604,453","592,663","11,790","592,663","242,905","309,221","1,927","N","N","N","N","21,552","4,759","6,532","2,194","1,014","2,952","1,412","2,689","233","N","N","N","N","16,825","11,790","2,183","928","3,201","1,120","","604,453","251,526","315,243","5,425","25,999","807","18,815","","604,453","55,256","9,353","3,864","2,134","39,905","549,197","210,100","304,968","1,304","21,552","233","901","10,139","1,016","9,123","296,836"
"    Percent","","604,453","47.3%","52.7%","5.4%","4.5%","4.0%","7.1%","10.1%","20.9%","13.5%","12.5%","5.4%","5.2%","6.2%","3.5%","1.8%","(X)","83.2%","77.0%","14.4%","11.5%","503,186","46.5%","53.5%","69,427","39.9%","60.1%","","604,453","98.0%","2.0%","98.0%","40.2%","51.2%","0.3%","N","N","N","N","3.6%","0.8%","1.1%","0.4%","0.2%","0.5%","0.2%","0.4%","0.0%","N","N","N","N","2.8%","2.0%","0.4%","0.2%","0.5%","0.2%","","604,453","41.6%","52.2%","0.9%","4.3%","0.1%","3.1%","","604,453","9.1%","1.5%","0.6%","0.4%","6.6%","90.9%","34.8%","50.5%","0.2%","3.6%","0.0%","0.1%","1.7%","0.2%","1.5%","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","18,843,326","9,212,548","9,630,778","1,067,986","1,081,390","1,138,125","1,230,917","1,247,729","2,270,950","2,437,991","2,739,968","1,216,969","1,138,102","1,738,684","1,086,965","447,550","40.7","14,843,807","14,042,212","3,954,115","3,273,199","14,843,807","7,163,850","7,679,957","3,273,199","1,457,765","1,815,434","","18,843,326","18,436,327","406,999","18,436,327","14,411,461","2,997,377","67,854","10,931","1,971","631","1,810","452,580","124,926","73,734","82,287","13,847","25,658","67,256","64,872","11,525","2,489","3,080","1,453","4,503","495,530","406,999","127,391","60,856","65,289","11,061","","18,843,326","14,743,216","3,195,360","157,703","564,551","34,031","587,749","","18,843,326","4,253,197","617,426","864,577","1,264,799","1,506,395","14,590,129","10,884,119","2,875,804","39,874","446,753","10,162","50,631","282,786","22,545","260,241","8,994,091"
"    Percent","","18,843,326","48.9%","51.1%","5.7%","5.7%","6.0%","6.5%","6.6%","12.1%","12.9%","14.5%","6.5%","6.0%","9.2%","5.8%","2.4%","(X)","78.8%","74.5%","21.0%","17.4%","14,843,807","48.3%","51.7%","3,273,199","44.5%","55.5%","","18,843,326","97.8%","2.2%","97.8%","76.5%","15.9%","0.4%","0.1%","0.0%","0.0%","0.0%","2.4%","0.7%","0.4%","0.4%","0.1%","0.1%","0.4%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.2%","0.7%","0.3%","0.3%","0.1%","","18,843,326","78.2%","17.0%","0.8%","3.0%","0.2%","3.1%","","18,843,326","22.6%","3.3%","4.6%","6.7%","8.0%","77.4%","57.8%","15.3%","0.2%","2.4%","0.1%","0.3%","1.5%","0.1%","1.4%","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","9,712,587","4,742,754","4,969,833","682,314","707,281","685,192","719,466","682,711","1,322,903","1,406,883","1,387,209","572,683","512,047","610,491","306,592","116,815","35.4","7,218,066","6,763,278","1,332,593","1,033,898","7,218,066","3,465,631","3,752,435","1,033,898","437,124","596,774","","9,712,587","9,533,696","178,891","9,533,696","5,895,315","2,976,758","22,055","5,407","302","385","243","316,098","94,474","44,086","17,112","8,416","53,817","52,603","45,590","2,533","1,266","347","325","595","320,937","178,891","58,184","26,393","24,015","11,926","","9,712,587","6,036,648","3,071,510","71,422","359,802","8,984","356,253","","9,712,587","856,924","537,842","73,507","24,265","221,310","8,855,663","5,419,594","2,946,140","16,733","314,636","2,173","17,658","138,729","7,563","131,166","4,091,482"
"    Percent","","9,712,587","48.8%","51.2%","7.0%","7.3%","7.1%","7.4%","7.0%","13.6%","14.5%","14.3%","5.9%","5.3%","6.3%","3.2%","1.2%","(X)","74.3%","69.6%","13.7%","10.6%","7,218,066","48.0%","52.0%","1,033,898","42.3%","57.7%","","9,712,587","98.2%","1.8%","98.2%","60.7%","30.6%","0.2%","0.1%","0.0%","0.0%","0.0%","3.3%","1.0%","0.5%","0.2%","0.1%","0.6%","0.5%","0.5%","0.0%","0.0%","0.0%","0.0%","0.0%","3.3%","1.8%","0.6%","0.3%","0.2%","0.1%","","9,712,587","62.2%","31.6%","0.7%","3.7%","0.1%","3.7%","","9,712,587","8.8%","5.5%","0.8%","0.2%","2.3%","91.2%","55.8%","30.3%","0.2%","3.2%","0.0%","0.2%","1.4%","0.1%","1.4%","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,363,621","684,087","679,534","86,693","82,338","83,521","86,055","98,086","180,950","176,314","194,443","91,834","85,261","102,915","64,496","30,715","38.7","1,059,960","1,004,800","244,760","198,126","1,059,960","527,069","532,891","198,126","87,881","110,245","","1,363,621","1,039,512","324,109","1,039,512","335,563","20,345","2,660","674","67","406","0","530,937","2,824","60,359","199,957","186,167","24,872","9,998","46,760","134,881","75,430","2,568","20,474","36,409","15,126","324,109","4,667","10,826","71,316","565","","1,363,621","573,468","40,443","39,695","784,873","347,511","36,113","","1,363,621","121,001","38,473","42,650","1,269","38,609","1,242,620","308,895","19,010","1,803","518,014","128,281","1,838","264,779","2,425","262,354","519,992"
