"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","2,978,204","1,463,576","1,514,628","188,704","199,054","199,465","202,995","200,167","385,391","367,499","383,582","198,146","175,087","279,414","139,082","59,618","37.9","2,272,260","2,149,030","581,326","478,114","2,272,260","1,099,264","1,172,996","478,114","212,325","265,789","","2,978,204","2,913,984","64,220","2,913,984","2,308,047","469,555","20,797","9,875","143","0","374","42,404","11,417","6,839","2,670","1,895","1,953","5,771","11,859","7,639","N","N","N","N","65,542","64,220","20,015","25,870","7,429","837","","2,978,204","2,367,749","493,907","49,092","52,597","9,777","71,843","","2,978,204","207,743","143,939","7,086","2,250","54,468","2,770,461","2,174,934","466,486","18,221","41,932","7,551","3,826","57,511","1,879","55,632","1,347,598","","2,185,724","1,053,394","1,132,330"
"    Percent","","2,978,204","49.1%","50.9%","6.3%","6.7%","6.7%","6.8%","6.7%","12.9%","12.3%","12.9%","6.7%","5.9%","9.4%","4.7%","2.0%","(X)","76.3%","72.2%","19.5%","16.1%","2,272,260","48.4%","51.6%","478,114","44.4%","55.6%","","2,978,204","97.8%","2.2%","97.8%","77.5%","15.8%","0.7%","0.3%","0.0%","0.0%","0.0%","1.4%","0.4%","0.2%","0.1%","0.1%","0.1%","0.2%","0.4%","0.3%","N","N","N","N","2.2%","2.2%","0.7%","0.9%","0.2%","0.0%","","2,978,204","79.5%","16.6%","1.6%","1.8%","0.3%","2.4%","","2,978,204","7.0%","4.8%","0.2%","0.1%","1.8%","93.0%","73.0%","15.7%","0.6%","1.4%","0.3%","0.1%","1.9%","0.1%","1.9%","(X)","","2,185,724","48.2%","51.8%"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","39,144,818","19,440,558","19,704,260","2,507,649","2,540,713","2,519,716","2,606,760","2,884,717","5,832,712","5,190,370","5,243,141","2,480,156","2,149,326","2,981,899","1,518,127","689,532","36.2","30,028,400","28,389,782","6,417,044","5,189,558","30,028,400","14,786,858","15,241,542","5,189,558","2,298,554","2,891,004","","39,144,818","37,391,047","1,753,771","37,391,047","23,824,254","2,277,229","282,777","21,218","2,786","8,876","2,455","5,548,936","725,324","1,496,496","1,307,492","271,908","470,288","618,690","658,738","157,554","24,036","25,907","46,013","61,598","5,300,297","1,753,771","238,914","280,388","513,885","37,869","","39,144,818","25,281,871","2,718,375","721,345","6,319,520","307,513","5,717,277","","39,144,818","15,184,545","12,645,881","197,399","91,093","2,250,172","23,960,273","14,815,122","2,192,844","135,866","5,476,958","143,408","87,813","1,108,262","45,126","1,063,136","13,988,399","","25,002,812","12,251,218","12,751,594"
"    Percent","","39,144,818","49.7%","50.3%","6.4%","6.5%","6.4%","6.7%","7.4%","14.9%","13.3%","13.4%","6.3%","5.5%","7.6%","3.9%","1.8%","(X)","76.7%","72.5%","16.4%","13.3%","30,028,400","49.2%","50.8%","5,189,558","44.3%","55.7%","","39,144,818","95.5%","4.5%","95.5%","60.9%","5.8%","0.7%","0.1%","0.0%","0.0%","0.0%","14.2%","1.9%","3.8%","3.3%","0.7%","1.2%","1.6%","1.7%","0.4%","0.1%","0.1%","0.1%","0.2%","13.5%","4.5%","0.6%","0.7%","1.3%","0.1%","","39,144,818","64.6%","6.9%","1.8%","16.1%","0.8%","14.6%","","39,144,818","38.8%","32.3%","0.5%","0.2%","5.7%","61.2%","37.8%","5.6%","0.3%","14.0%","0.4%","0.2%","2.8%","0.1%","2.7%","(X)","","25,002,812","49.0%","51.0%"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,456,574","2,741,020","2,715,554","333,539","359,884","357,031","351,894","382,373","827,137","737,989","711,031","352,606","331,518","436,772","191,972","82,828","36.4","4,199,802","3,984,114","901,253","711,572","4,199,802","2,100,215","2,099,587","711,572","323,620","387,952","","5,456,574","5,263,243","193,331","5,263,243","4,607,390","224,809","49,138","5,638","458","6,368","2,957","162,880","31,106","35,218","14,078","9,170","18,804","24,319","30,185","9,136","2,211","2,378","3,433","1,114","209,890","193,331","40,681","45,952","45,940","2,946","","5,456,574","4,779,809","282,935","109,913","228,381","20,630","243,879","","5,456,574","1,164,278","858,570","34,437","13,231","258,040","4,292,296","3,737,243","213,389","26,239","158,584","8,499","13,900","134,442","3,841","130,601","2,309,122","","3,896,986","1,938,664","1,958,322"
"    Percent","","5,456,574","50.2%","49.8%","6.1%","6.6%","6.5%","6.4%","7.0%","15.2%","13.5%","13.0%","6.5%","6.1%","8.0%","3.5%","1.5%","(X)","77.0%","73.0%","16.5%","13.0%","4,199,802","50.0%","50.0%","711,572","45.5%","54.5%","","5,456,574","96.5%","3.5%","96.5%","84.4%","4.1%","0.9%","0.1%","0.0%","0.1%","0.1%","3.0%","0.6%","0.6%","0.3%","0.2%","0.3%","0.4%","0.6%","0.2%","0.0%","0.0%","0.1%","0.0%","3.8%","3.5%","0.7%","0.8%","0.8%","0.1%","","5,456,574","87.6%","5.2%","2.0%","4.2%","0.4%","4.5%","","5,456,574","21.3%","15.7%","0.6%","0.2%","4.7%","78.7%","68.5%","3.9%","0.5%","2.9%","0.2%","0.3%","2.5%","0.1%","2.4%","(X)","","3,896,986","49.7%","50.3%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,590,886","1,752,063","1,838,823","186,528","207,743","224,666","250,404","246,827","442,776","432,504","537,158","268,958","228,039","314,303","161,837","89,143","40.6","2,827,561","2,667,889","695,310","565,283","2,827,561","1,360,885","1,466,676","565,283","243,789","321,494","","3,590,886","3,474,282","116,604","3,474,282","2,747,943","380,571","8,893","508","88","85","38","156,249","56,895","36,645","13,437","3,715","11,222","6,650","27,685","519","N","N","N","N","180,107","116,604","30,375","14,682","22,228","4,800","","3,590,886","2,843,798","436,476","39,433","185,175","4,142","210,801","","3,590,886","553,783","55,018","280,070","12,759","205,936","3,037,103","2,439,796","355,469","4,235","155,610","468","9,375","72,150","4,391","67,759","1,496,056","","2,584,884","1,234,535","1,350,349"
"    Percent","","3,590,886","48.8%","51.2%","5.2%","5.8%","6.3%","7.0%","6.9%","12.3%","12.0%","15.0%","7.5%","6.4%","8.8%","4.5%","2.5%","(X)","78.7%","74.3%","19.4%","15.7%","2,827,561","48.1%","51.9%","565,283","43.1%","56.9%","","3,590,886","96.8%","3.2%","96.8%","76.5%","10.6%","0.2%","0.0%","0.0%","0.0%","0.0%","4.4%","1.6%","1.0%","0.4%","0.1%","0.3%","0.2%","0.8%","0.0%","N","N","N","N","5.0%","3.2%","0.8%","0.4%","0.6%","0.1%","","3,590,886","79.2%","12.2%","1.1%","5.2%","0.1%","5.9%","","3,590,886","15.4%","1.5%","7.8%","0.4%","5.7%","84.6%","67.9%","9.9%","0.1%","4.3%","0.0%","0.3%","2.0%","0.1%","1.9%","(X)","","2,584,884","47.8%","52.2%"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","945,934","458,208","487,726","55,445","52,642","61,316","60,716","63,179","124,348","110,727","129,436","65,906","61,395","95,778","45,417","19,629","39.7","741,734","700,846","195,659","160,824","741,734","353,963","387,771","160,824","71,963","88,861","","945,934","917,493","28,441","917,493","654,904","203,863","3,121","N","N","N","N","36,114","15,965","7,766","3,956","300","2,491","1,788","3,848","334","N","N","N","N","19,157","28,441","13,733","2,962","3,201","1,743","","945,934","678,389","223,502","9,044","41,381","1,196","22,956","","945,934","85,306","34,785","21,476","1,638","27,407","860,628","596,375","200,433","2,397","35,950","265","3,242","21,966","1,056","20,910","421,734","","697,148","330,732","366,416"
"    Percent","","945,934","48.4%","51.6%","5.9%","5.6%","6.5%","6.4%","6.7%","13.1%","11.7%","13.7%","7.0%","6.5%","10.1%","4.8%","2.1%","(X)","78.4%","74.1%","20.7%","17.0%","741,734","47.7%","52.3%","160,824","44.7%","55.3%","","945,934","97.0%","3.0%","97.0%","69.2%","21.6%","0.3%","N","N","N","N","3.8%","1.7%","0.8%","0.4%","0.0%","0.3%","0.2%","0.4%","0.0%","N","N","N","N","2.0%","3.0%","1.5%","0.3%","0.3%","0.2%","","945,934","71.7%","23.6%","1.0%","4.4%","0.1%","2.4%","","945,934","9.0%","3.7%","2.3%","0.2%","2.9%","91.0%","63.0%","21.2%","0.3%","3.8%","0.0%","0.3%","2.3%","0.1%","2.2%","(X)","","697,148","47.4%","52.6%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","672,228","319,705","352,523","43,230","32,562","26,490","38,525","58,537","152,487","96,419","77,353","37,764","32,270","44,092","20,819","11,680","33.8","554,390","519,677","94,878","76,591","554,390","259,629","294,761","76,591","30,771","45,820","","672,228","650,851","21,377","650,851","269,143","318,831","1,661","N","N","N","N","25,944","7,129","6,745","3,263","960","2,271","2,381","3,195","475","N","N","N","N","34,797","21,377","4,912","1,405","6,474","1,560","","672,228","285,402","328,786","6,130","35,072","1,742","38,687","","672,228","71,129","12,653","6,989","4,021","47,466","601,099","241,855","312,914","959","25,633","367","2,976","16,395","1,023","15,372","309,596","","504,242","234,957","269,285"
"    Percent","","672,228","47.6%","52.4%","6.4%","4.8%","3.9%","5.7%","8.7%","22.7%","14.3%","11.5%","5.6%","4.8%","6.6%","3.1%","1.7%","(X)","82.5%","77.3%","14.1%","11.4%","554,390","46.8%","53.2%","76,591","40.2%","59.8%","","672,228","96.8%","3.2%","96.8%","40.0%","47.4%","0.2%","N","N","N","N","3.9%","1.1%","1.0%","0.5%","0.1%","0.3%","0.4%","0.5%","0.1%","N","N","N","N","5.2%","3.2%","0.7%","0.2%","1.0%","0.2%","","672,228","42.5%","48.9%","0.9%","5.2%","0.3%","5.8%","","672,228","10.6%","1.9%","1.0%","0.6%","7.1%","89.4%","36.0%","46.5%","0.1%","3.8%","0.1%","0.4%","2.4%","0.2%","2.3%","(X)","","504,242","46.6%","53.4%"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","20,271,272","9,891,238","10,380,034","1,098,273","1,137,660","1,146,160","1,210,563","1,284,335","2,593,253","2,463,472","2,743,332","1,359,858","1,289,133","2,185,122","1,228,681","531,430","41.8","16,168,283","15,397,351","4,705,123","3,945,233","16,168,283","7,803,581","8,364,702","3,945,233","1,771,351","2,173,882","","20,271,272","19,769,416","501,856","19,769,416","15,357,374","3,280,778","47,032","6,143","1,329","342","1,755","544,068","150,191","92,553","106,181","15,315","31,759","68,069","80,000","11,898","3,769","4,319","1,621","2,189","528,266","501,856","161,212","75,338","93,120","12,040","","20,271,272","15,778,906","3,519,337","158,032","693,333","38,292","624,518","","20,271,272","4,962,905","723,190","1,069,446","1,420,846","1,749,423","15,308,367","11,170,487","3,145,615","33,659","534,389","9,616","57,413","357,188","24,566","332,622","9,210,287","","14,441,877","6,929,596","7,512,281"
"    Percent","","20,271,272","48.8%","51.2%","5.4%","5.6%","5.7%","6.0%","6.3%","12.8%","12.2%","13.5%","6.7%","6.4%","10.8%","6.1%","2.6%","(X)","79.8%","76.0%","23.2%","19.5%","16,168,283","48.3%","51.7%","3,945,233","44.9%","55.1%","","20,271,272","97.5%","2.5%","97.5%","75.8%","16.2%","0.2%","0.0%","0.0%","0.0%","0.0%","2.7%","0.7%","0.5%","0.5%","0.1%","0.2%","0.3%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","2.5%","0.8%","0.4%","0.5%","0.1%","","20,271,272","77.8%","17.4%","0.8%","3.4%","0.2%","3.1%","","20,271,272","24.5%","3.6%","5.3%","7.0%","8.6%","75.5%","55.1%","15.5%","0.2%","2.6%","0.0%","0.3%","1.8%","0.1%","1.6%","(X)","","14,441,877","48.0%","52.0%"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
